iy,ix,dx,dy,residual_comb_score,p_jitter,null_median,null_q95,null_q99,q_bh
0,0,0.03125,0.03125,1.141577570143309,4.999750012499375e-05,0.7922948612920946,0.8860924832560975,0.9443615514307625,0.00039998000099995
0,1,0.09375,0.03125,1.1143562085686,4.999750012499375e-05,0.7930717410016361,0.8712337827706736,0.9087196930336139,0.00039998000099995
0,2,0.15625,0.03125,1.0111840557812173,4.999750012499375e-05,0.786542231034812,0.8578166924659918,0.896865839037582,0.00039998000099995
0,3,0.21875,0.03125,1.0038059420491792,4.999750012499375e-05,0.7930024665128244,0.858433137339571,0.887121201137185,0.00039998000099995
0,4,0.28125,0.03125,0.9903283859581203,4.999750012499375e-05,0.814681445568425,0.8784949922662145,0.9063493677276678,0.00039998000099995
0,5,0.34375,0.03125,0.9402690292977511,0.0006499675016249188,0.8084379672356374,0.8753647098008788,0.9030524126450328,0.00255987200639968
0,6,0.40625,0.03125,0.925939890859078,0.0006999650017499125,0.7994023343698733,0.8680084010112292,0.8963352813598295,0.002635162359529082
0,7,0.46875,0.03125,0.9150088003498468,0.0005499725013749313,0.7869592950611539,0.852320799556662,0.8773953159737333,0.002270854199225523
0,8,0.53125,0.03125,0.8530064705114069,0.06034698265086746,0.7905839048761402,0.8567009300067462,0.8846895809159558,0.0971624374756105
0,9,0.59375,0.03125,0.8445125548720994,0.09774511274436279,0.793717511145334,0.8593624810309907,0.8856762475886428,0.1421747094463459
0,10,0.65625,0.03125,0.8484886710859505,0.11824408779561021,0.8018183357405997,0.8673558505501084,0.8934589179143027,0.1681693693093123
0,11,0.71875,0.03125,0.8275262056292894,0.20048997550122494,0.7926726517102779,0.8620437093906939,0.8913292048787228,0.2605351965904243
0,12,0.78125,0.03125,0.7955564972359169,0.4762261886905655,0.7930140744566594,0.8603200953333079,0.8876783775374335,0.5079746012699365
0,13,0.84375,0.03125,0.7925886393986027,0.392030398480076,0.781681391926125,0.847057518718072,0.8748513296349598,0.43634687830825847
0,14,0.90625,0.03125,0.8873891866925917,0.011499425028748563,0.7968772924848486,0.8629261358322274,0.8892147799015774,0.024845816532702777
0,15,0.96875,0.03125,1.04293926520999,4.999750012499375e-05,0.7991313366544177,0.8715787486927243,0.9100366941367807,0.00039998000099995
1,0,0.03125,0.09375,1.1402807323606372,4.999750012499375e-05,0.7986962012279715,0.8988147385854516,0.9592004491783557,0.00039998000099995
1,1,0.09375,0.09375,1.0931968722663685,4.999750012499375e-05,0.793431402150317,0.876793813351915,0.922036827834055,0.00039998000099995
1,2,0.15625,0.09375,1.0530700366328154,4.999750012499375e-05,0.8061853782123884,0.8793975121353258,0.9167371199941047,0.00039998000099995
1,3,0.21875,0.09375,1.0065894381501903,4.999750012499375e-05,0.7942261869193251,0.868658005752411,0.9002602220064795,0.00039998000099995
1,4,0.28125,0.09375,0.9724261459398456,9.99950002499875e-05,0.7917325182097966,0.8609159719701438,0.8914974098609565,0.0006399680015999199
1,5,0.34375,0.09375,0.8824185943841617,0.010349482525873706,0.7860730371166795,0.8540546767557379,0.883412863979691,0.023240943215997095
1,6,0.40625,0.09375,0.8783044527584151,0.010749462526873657,0.7921862691869812,0.8536485655549348,0.878957181269144,0.02372295178344531
1,7,0.46875,0.09375,0.8815435477275019,0.013299335033248337,0.790460528419457,0.8585930993451152,0.8861460999661551,0.02767991681716727
1,8,0.53125,0.09375,0.9354834040740724,0.0015999200039998,0.8124536466150143,0.8807162297616432,0.9115082935652986,0.004875946678856533
