iy,ix,dx,dy,comb_score,p_jitter,null_median,null_q95,null_q99,q_bh
0,0,0.03125,0.03125,2.0414654351878196,4.999750012499375e-05,0.9284149471083281,1.1691969509666884,1.2897461249259488,4.999750012499375e-05
0,1,0.09375,0.03125,2.045686080812272,4.999750012499375e-05,0.9284327423230516,1.1813210794033622,1.300737922008072,4.999750012499375e-05
0,2,0.15625,0.03125,2.0446918721557386,4.999750012499375e-05,0.9322095685914822,1.1802867931720056,1.3031611482481296,4.999750012499375e-05
0,3,0.21875,0.03125,2.045430888288489,4.999750012499375e-05,0.9310732308308549,1.1772201313033415,1.2886510918126015,4.999750012499375e-05
0,4,0.28125,0.03125,2.0414031689368346,4.999750012499375e-05,0.9274307355951683,1.172416035706825,1.291209203007412,4.999750012499375e-05
0,5,0.34375,0.03125,2.0389878534488,4.999750012499375e-05,0.92773510299451,1.172126899244775,1.2895613011480338,4.999750012499375e-05
0,6,0.40625,0.03125,2.0442855155915494,4.999750012499375e-05,0.9296077604384285,1.1762520033175132,1.296497775438402,4.999750012499375e-05
0,7,0.46875,0.03125,2.0427148234876302,4.999750012499375e-05,0.9295870931086176,1.1714212421670789,1.2900541011798305,4.999750012499375e-05
0,8,0.53125,0.03125,2.0452386189254437,4.999750012499375e-05,0.9306639451434768,1.1760475058984106,1.302035064535882,4.999750012499375e-05
0,9,0.59375,0.03125,2.042751152564687,4.999750012499375e-05,0.9289184257013986,1.1776982604975328,1.2906729219435844,4.999750012499375e-05
0,10,0.65625,0.03125,2.0411845810537628,4.999750012499375e-05,0.9296191762841259,1.1765456512071284,1.2971732728001142,4.999750012499375e-05
0,11,0.71875,0.03125,2.040246869067794,4.999750012499375e-05,0.9278049330917297,1.1761268755376415,1.2935221360698728,4.999750012499375e-05
0,12,0.78125,0.03125,2.044674370953548,4.999750012499375e-05,0.929709004311577,1.1765429783693067,1.305527690658188,4.999750012499375e-05
0,13,0.84375,0.03125,2.035791728954012,4.999750012499375e-05,0.9245086226320949,1.165270024884158,1.2853102188355308,4.999750012499375e-05
0,14,0.90625,0.03125,2.0386834856385203,4.999750012499375e-05,0.9266072337966378,1.1656448592374653,1.2871989143507818,4.999750012499375e-05
0,15,0.96875,0.03125,2.035460925781785,4.999750012499375e-05,0.9246973021095315,1.1672815146989644,1.2878951186466605,4.999750012499375e-05
1,0,0.03125,0.09375,2.04383130688403,4.999750012499375e-05,0.9250857820086524,1.1727887626221691,1.2944257863821504,4.999750012499375e-05
1,1,0.09375,0.09375,2.0375158520342924,4.999750012499375e-05,0.925575250795529,1.168125961347012,1.2865070778354901,4.999750012499375e-05
1,2,0.15625,0.09375,2.0407225396244377,4.999750012499375e-05,0.9281581213911998,1.1745639322294952,1.2884300662125587,4.999750012499375e-05
1,3,0.21875,0.09375,2.0419559050939524,4.999750012499375e-05,0.9268809640084616,1.1720507507313525,1.2966538598491875,4.999750012499375e-05
1,4,0.28125,0.09375,2.0402730519191334,4.999750012499375e-05,0.9269602208139696,1.1702445098722885,1.2862243437015406,4.999750012499375e-05
1,5,0.34375,0.09375,2.038101429319413,4.999750012499375e-05,0.9245522099089336,1.1660088807510423,1.2838185763954602,4.999750012499375e-05
1,6,0.40625,0.09375,2.035615246146889,4.999750012499375e-05,0.9228200227781559,1.166424300372807,1.2887429312307692,4.999750012499375e-05
