block,loop_start,loop_stop,T_median,log_T_over_2pi,omega_nyq_asym,m_safe_asym,area_score_m2_11,area_null_median_m2_11,area_null_q95_m2_11,area_E95_m2_11,area_p_jitter_m2_11,area_best_shift_m2_11,area_abs_best_shift_m2_11,mean_score_m2_11,mean_E95_m2_11,mean_best_shift_m2_11,zero_mode_variance,residual_mean_square,residual_variance_fraction
1,1,1000,812.6931223080591,4.8624765085455275,2.4312382542727637,11,0.9307463321606628,0.8751700076020864,1.1123387028253233,0.23433246325475107,0.34353282335883206,0.030500000000000027,0.030500000000000027,0.9308441716813751,0.2334024506622002,0.030500000000000027,371.45768315887443,0.5717616882324219,0.0015368721378153257
2,1001,2000,1981.767715020207,5.753867444347168,2.876933722173584,17,1.1014265239184917,0.9178356829755205,1.1782447535884,0.7050093935318206,0.11744412779361033,-0.015499999999999986,0.015499999999999986,1.1013800170526475,0.6937781537177636,-0.015499999999999986,692.2633368847046,0.5997804565429687,0.0008656550500833862
3,2001,3000,3032.504850040366,6.17926717376137,3.089633586880685,21,1.6376486363329654,0.9130153868038539,1.207510841647893,2.4605923032423966,0.00024998750062496874,-0.011499999999999982,0.011499999999999982,1.6377230235452536,2.459677487451758,-0.011499999999999982,849.1191454355469,0.5915342712402344,0.0006961596286448434
4,3001,4000,4025.4185771387847,6.462507112356479,3.2312535561782396,25,1.8745787458018452,0.9193196398166316,1.2418115728500434,2.962117833459865,4.999750012499375e-05,-0.002250000000000002,0.002250000000000002,1.8739450323303308,2.9211933269275807,-0.002250000000000002,1012.3145150375366,0.6024926147460937,0.0005948094564455366
5,4001,5000,4981.254132887694,6.675559905817708,3.337779952908854,28,2.199127480477754,0.9200842061566415,1.295221469964612,3.4095340498507323,4.999750012499375e-05,0.0007500000000000284,0.0007500000000000284,2.198718521248805,3.387736875338248,0.0007500000000000284,1076.8612562790527,0.609281005859375,0.0005654734721514382
6,5001,6000,5910.37908746503,6.846588185328797,3.4232940926643987,30,2.297253439660684,0.9178659444834649,1.30442393879815,3.568384344560474,4.999750012499375e-05,-0.005250000000000005,0.005250000000000005,2.297140039515653,3.6091969426762662,-0.005250000000000005,1197.7051095565796,0.6144058837890625,0.0005127229222861112
7,6001,7000,6818.5872883515085,6.989530520500744,3.494765260250372,32,2.663341031818997,0.9298343157297524,1.3263014425635113,4.372384489814498,4.999750012499375e-05,-0.0017500000000000016,0.0017500000000000016,2.6636258887364264,4.287910750614455,-0.0017500000000000016,1267.7467916904297,0.5999351806640625,0.00047300566000911504
8,7001,8000,7709.207523448144,7.112293609320246,3.556146804660123,35,2.818706314470051,0.8845041264312201,1.3106408452621763,4.538924017965483,4.999750012499375e-05,0.000250000000000028,0.000250000000000028,2.8178694649854923,4.508102633633572,0.000250000000000028,1331.1607168174899,0.603384262084961,0.0004530714272864364
9,8001,9000,8586.299613009527,7.220046077295039,3.6100230386475194,36,3.038676522655426,0.8617457881147554,1.285127231835393,5.141771721051356,4.999750012499375e-05,-0.0002500000000000002,0.0002500000000000002,3.0382868008126245,5.102551006402091,-0.0002500000000000002,1433.8865773012694,0.6154949035644531,0.0004290651895806854
10,9001,10000,9450.239594502329,7.315918307672629,3.6579591538363143,38,3.135457208349051,0.8649187440271148,1.2971999270616728,5.252457320448348,4.999750012499375e-05,0.0,0.0,3.1346326738043175,5.3352561909462395,0.0,1498.82884762793,0.6152873229980469,0.00041034361244687736
11,10001,11000,10304.025410695464,7.402412848031852,3.701206424015926,40,3.1564554042013144,0.8801932509357345,1.3200997512938812,5.174422636201959,4.999750012499375e-05,0.0,0.0,3.1566538763401892,5.149919819269502,0.0,1572.5026850170289,0.6070494995117187,0.0003858913883704887
12,11001,12000,11148.182917756163,7.481154730180967,3.7405773650904837,42,3.3607817402496467,0.902314532925977,1.3679846699399048,5.2794177936519455,4.999750012499375e-05,0.0005000000000000004,0.0005000000000000004,3.361749274335051,5.288851544192223,0.0005000000000000004,1519.3340937343598,0.6089042510986328,0.0004006099254417291
13,12001,13000,11984.203475872899,7.553467618164871,3.7767338090824354,43,3.1560191268480033,0.8527265859823683,1.292216626130949,5.240829894772926,4.999750012499375e-05,0.0007500000000000284,0.0007500000000000284,3.156497172636608,5.1551791210692395,0.0007500000000000284,1631.7462748073576,0.6108358917236328,0.00037420481567420824
14,13001,14000,12812.37569279231,7.620289767398387,3.8101448836991936,45,3.320855105968777,0.8443599383866653,1.279640924498072,5.689417288142866,4.999750012499375e-05,-0.0007500000000000007,0.0007500000000000007,3.3206362410275974,5.62014591599788,-0.0007500000000000007,1741.9311460154877,0.6164661102294922,0.0003537728931707473
15,14001,15000,13633.37260549398,7.682398867547869,3.8411994337739346,46,3.3717934650633863,0.8852184143449864,1.344646822743837,5.412323237442668,4.999750012499375e-05,-0.0007500000000000007,0.0007500000000000007,3.372164726811026,5.380739316356595,-0.0007500000000000007,1728.4218833364255,0.6408572082519531,0.00037063849288087415
16,15001,16000,14448.021912029386,7.740435725859601,3.8702178629298003,47,3.1783400620663693,0.8405458396292874,1.2675226695066337,5.475225021246793,4.999750012499375e-05,0.0005000000000000004,0.0005000000000000004,3.1778563036637295,5.524209934791948,0.0005000000000000004,1795.6292790117036,0.6214030303955078,0.00034594449238513575
17,16001,17000,15257.14386345597,7.794926056000422,3.897463028000211,49,3.4329311452192037,0.8823892168070326,1.3429104199187598,5.538381102060535,4.999750012499375e-05,0.0010000000000000009,0.0010000000000000009,3.4327402765974058,5.54604963249581,0.0010000000000000009,1804.4221401223144,0.6195637817382813,0.00034324070208364244
18,17001,18000,16060.327412360582,7.846230307705553,3.9231151538527764,50,3.5320607741047922,0.8655438364727644,1.352328269561529,5.477818838027203,4.999750012499375e-05,-0.0002500000000000002,0.0002500000000000002,3.5312145530297245,5.50833187759849,-0.0002500000000000002,1742.6046132780607,0.621750503540039,0.00035666653307793526
19,18001,19000,16858.528087376744,7.894734859281881,3.9473674296409405,51,3.2445683405650882,0.8745897953506844,1.3141623344432292,5.391552780132709,4.999750012499375e-05,0.0010000000000000009,0.0010000000000000009,3.2435602684109752,5.409684124621185,0.0010000000000000009,2034.0651465391693,0.6215597991943359,0.00030548182049751495
20,19001,20000,17652.254078499678,7.940741697627901,3.9703708488139506,53,3.326386081225273,0.856913018833654,1.3041636335587428,5.521452584049612,4.999750012499375e-05,0.0005000000000000004,0.0005000000000000004,3.3254011749149206,5.50154363857091,0.0005000000000000004,1914.704241645981,0.6295398101806641,0.0003286841261171966
