rule,q,iy,ix,dx,dy,count_comb_score,residual_comb_score
winding,8,5,3,0.4375,0.6875,2.04490998492448,0.9114892706557486
winding,8,5,4,0.5625,0.6875,2.04010627365554,0.8231103095722069
winding,8,5,5,0.6875,0.6875,2.0405120290479912,0.7901421578410291
winding,8,5,6,0.8125,0.6875,2.045298423263961,0.8854525964595918
winding,8,5,7,0.9375,0.6875,2.039244083770337,0.9441113934202542
winding,8,6,0,0.0625,0.8125,2.0479033588377575,1.0179382702666833
winding,8,6,1,0.1875,0.8125,2.0388407416139933,0.9648855783370687
winding,8,6,2,0.3125,0.8125,2.0421095206611635,0.9156630687875059
winding,8,6,3,0.4375,0.8125,2.0425069263401165,0.8779421157271647
winding,8,6,4,0.5625,0.8125,2.0378998363073304,0.790760689382208
winding,8,6,5,0.6875,0.8125,2.0382665878079327,0.7800847283902592
winding,8,6,6,0.8125,0.8125,2.044181156292778,0.9327239730985474
winding,8,6,7,0.9375,0.8125,2.042702553846003,1.0073681417429128
winding,8,7,0,0.0625,0.9375,2.050320980509856,1.1371720408251527
winding,8,7,1,0.1875,0.9375,2.0455267333089027,0.9914945342006827
winding,8,7,2,0.3125,0.9375,2.042668808998105,0.9108970030618128
winding,8,7,3,0.4375,0.9375,2.038870786471596,0.8658886216016551
winding,8,7,4,0.5625,0.9375,2.0459261061734586,0.8528769307479235
winding,8,7,5,0.6875,0.9375,2.0421189232720174,0.8140664614947765
winding,8,7,6,0.8125,0.9375,2.0415096461376208,0.8524205938341787
winding,8,7,7,0.9375,0.9375,2.0434708505823327,1.011398307339172
winding,16,0,0,0.03125,0.03125,2.0415812003932605,1.141577570143309
winding,16,0,1,0.09375,0.03125,2.0458108899363077,1.1143562085686
winding,16,0,2,0.15625,0.03125,2.0448029515579007,1.0111840557812173
winding,16,0,3,0.21875,0.03125,2.045540100173698,1.0038059420491792
winding,16,0,4,0.28125,0.03125,2.04151685576887,0.9903283859581203
winding,16,0,5,0.34375,0.03125,2.039128608527507,0.9402690292977511
winding,16,0,6,0.40625,0.03125,2.0443888653860336,0.925939890859078
winding,16,0,7,0.46875,0.03125,2.0428149892807843,0.9150088003498468
winding,16,0,8,0.53125,0.03125,2.0453225960025025,0.8530064705114069
winding,16,0,9,0.59375,0.03125,2.0428404446883244,0.8445125548720994
winding,16,0,10,0.65625,0.03125,2.041270358974453,0.8484886710859505
winding,16,0,11,0.71875,0.03125,2.0403393482022607,0.8275262056292894
winding,16,0,12,0.78125,0.03125,2.0447696212329625,0.7955564972359169
winding,16,0,13,0.84375,0.03125,2.0359071255789734,0.7925886393986027
winding,16,0,14,0.90625,0.03125,2.038794537797182,0.8873891866925917
winding,16,0,15,0.96875,0.03125,2.0355703040238327,1.04293926520999
winding,16,1,0,0.03125,0.09375,2.0439691929504207,1.1402807323606372
winding,16,1,1,0.09375,0.09375,2.0376281603794353,1.0931968722663685
winding,16,1,2,0.15625,0.09375,2.0408410057403246,1.0530700366328154
winding,16,1,3,0.21875,0.09375,2.042093690747592,1.0065894381501903
winding,16,1,4,0.28125,0.09375,2.0404037837897886,0.9724261459398456
winding,16,1,5,0.34375,0.09375,2.038233398842617,0.8824185943841617
winding,16,1,6,0.40625,0.09375,2.0357203180362906,0.8783044527584151
winding,16,1,7,0.46875,0.09375,2.0438408519265274,0.8815435477275019
winding,16,1,8,0.53125,0.09375,2.04410160056638,0.9354834040740724
winding,16,1,9,0.59375,0.09375,2.035818600007449,0.9235523287668957
winding,16,1,10,0.65625,0.09375,2.0352126963770925,0.8538022082534821
winding,16,1,11,0.71875,0.09375,2.0405238980591833,0.8806855955126786
winding,16,1,12,0.78125,0.09375,2.0436373769046305,0.8266220836322176
