iy,ix,dx,dy,residual_comb_score,p_jitter,null_median,null_q95,null_q99,q_bh
3,5,0.34375,0.21875,0.8137467947391465,0.24943752812359382,0.7875621897547536,0.8502806382517977,0.8754103446709134,0.3114927180470245
3,6,0.40625,0.21875,0.8577295295359604,0.09559522023898805,0.8075873035763544,0.8705076842749297,0.8972898337989151,0.1414588230126066
3,7,0.46875,0.21875,0.8729752049093502,0.04269786510674466,0.7985064133071176,0.8694706183309533,0.89957952429693,0.07287102311551089
3,8,0.53125,0.21875,0.8861696797765167,0.04329783510824459,0.8142306113766267,0.8830437510357237,0.9110779336452998,0.07292266965599088
3,9,0.59375,0.21875,0.8470333744431836,0.23008849557522124,0.8188401821354185,0.8827984211642712,0.9100099065538938,0.29172402766000316
3,10,0.65625,0.21875,0.8111955913075072,0.4765761711914404,0.8089840745233456,0.8729945025753983,0.8999120927950784,0.5083479159375365
3,11,0.71875,0.21875,0.7998323385014142,0.5256237188140593,0.8025115030935714,0.8705873238744494,0.899445961007073,0.5543755734023998
3,12,0.78125,0.21875,0.8738532369837411,0.03564821758912055,0.7996402602584229,0.867406606619578,0.8956189814235551,0.06337460904732542
3,13,0.84375,0.21875,0.9089526612576497,0.0015499225038748063,0.792062593514268,0.8560703114347594,0.8822580042034793,0.004723573345142266
3,14,0.90625,0.21875,1.0175338226393944,4.999750012499375e-05,0.806568237862965,0.8775644880825048,0.911561346176673,0.00039998000099995
3,15,0.96875,0.21875,0.9870685338307931,0.00014999250037498125,0.7901083890006808,0.8647049200013393,0.905497228543434,0.0008169804275743659
4,0,0.03125,0.28125,1.0731496936444793,4.999750012499375e-05,0.8010139882566694,0.8775462064218982,0.9148180220482595,0.00039998000099995
4,1,0.09375,0.28125,1.000423820403536,4.999750012499375e-05,0.7868138645016078,0.8593941222540589,0.899825072931341,0.00039998000099995
4,2,0.15625,0.28125,0.9115452483256542,0.00024998750062496874,0.7767373186375617,0.8370570478760881,0.8670326520740502,0.0012307076953844615
4,3,0.21875,0.28125,0.8555871077742699,0.020548972551372433,0.7799024432981436,0.8402598394762631,0.86693419587577,0.03974538115199503
4,4,0.28125,0.28125,0.7921920741684594,0.48182590870456476,0.7902175993029521,0.8569672236850951,0.883764223367487,0.5118150731467576
4,5,0.34375,0.28125,0.8316322364084874,0.40132993350332485,0.8223973119219731,0.8832579467155068,0.9085032760275483,0.4428468231760826
4,6,0.40625,0.28125,0.8082349101280504,0.5286235688215589,0.8109082088558865,0.8722717505570925,0.897704402125055,0.5546214492554061
4,7,0.46875,0.28125,0.8141062194771534,0.2760861956902155,0.7934773917595522,0.8524422532719544,0.8766620721574753,0.33338710422969414
4,8,0.53125,0.28125,0.8513954939134836,0.13059347032648366,0.8076415827957903,0.8723204109434087,0.899972330449205,0.1826881333528952
4,9,0.59375,0.28125,0.8581317333171107,0.12519374031298436,0.8140905249052174,0.8777967243162478,0.9046377860924258,0.17609668967101097
4,10,0.65625,0.28125,0.8152013467964112,0.4269286535673216,0.8082806463785287,0.8704537294642488,0.8966894682797727,0.4670672449283519
