iy,ix,dx,dy,comb_score,p_jitter,null_median,null_q95,null_q99,q_bh
0,0,0.03125,0.03125,2.0415812003932605,4.999750012499375e-05,0.9284952403121236,1.169396468119432,1.2900577638028834,4.999750012499375e-05
0,1,0.09375,0.03125,2.0458108899363077,4.999750012499375e-05,0.9284633649747263,1.181389967703406,1.3010183290727304,4.999750012499375e-05
0,2,0.15625,0.03125,2.0448029515579007,4.999750012499375e-05,0.9320990617845387,1.1804938581313045,1.302723593533935,4.999750012499375e-05
0,3,0.21875,0.03125,2.045540100173698,4.999750012499375e-05,0.9310403939497671,1.177619181832433,1.2888741042517602,4.999750012499375e-05
0,4,0.28125,0.03125,2.04151685576887,4.999750012499375e-05,0.9275864818219284,1.1722837794205792,1.2913184425378583,4.999750012499375e-05
0,5,0.34375,0.03125,2.039128608527507,4.999750012499375e-05,0.9276821247314055,1.1720971800817643,1.2895101982862287,4.999750012499375e-05
0,6,0.40625,0.03125,2.0443888653860336,4.999750012499375e-05,0.9296899306343804,1.1767028921226865,1.2960880644527986,4.999750012499375e-05
0,7,0.46875,0.03125,2.0428149892807843,4.999750012499375e-05,0.9296599699446888,1.1713032357554711,1.2898000824644504,4.999750012499375e-05
0,8,0.53125,0.03125,2.0453225960025025,4.999750012499375e-05,0.9307434170361393,1.1760341356874606,1.3022046941996752,4.999750012499375e-05
0,9,0.59375,0.03125,2.0428404446883244,4.999750012499375e-05,0.928855215342969,1.1776300492764866,1.2909402644609573,4.999750012499375e-05
0,10,0.65625,0.03125,2.041270358974453,4.999750012499375e-05,0.9297631334971586,1.1767649162689506,1.2978351030479307,4.999750012499375e-05
0,11,0.71875,0.03125,2.0403393482022607,4.999750012499375e-05,0.9276896023392351,1.1763062695544315,1.293416581417731,4.999750012499375e-05
0,12,0.78125,0.03125,2.0447696212329625,4.999750012499375e-05,0.9296296978246805,1.1764531952926214,1.3055938507445088,4.999750012499375e-05
0,13,0.84375,0.03125,2.0359071255789734,4.999750012499375e-05,0.9244928680412747,1.1650956044642207,1.2857032831438893,4.999750012499375e-05
0,14,0.90625,0.03125,2.038794537797182,4.999750012499375e-05,0.9266204470715738,1.1656520198339377,1.286868629408439,4.999750012499375e-05
0,15,0.96875,0.03125,2.0355703040238327,4.999750012499375e-05,0.924603113896604,1.167747429987512,1.287619929257606,4.999750012499375e-05
1,0,0.03125,0.09375,2.0439691929504207,4.999750012499375e-05,0.9251208584430721,1.172681352489063,1.2950024521691625,4.999750012499375e-05
