omega,direct_score,smooth_score
4.600000000000000755e-01,2.827007800726382136e-01,3.930010300604290796e-01
4.605000000000000759e-01,2.897712613020493322e-01,4.004154967882045391e-01
4.610000000000000764e-01,2.894051732814220124e-01,4.257810954497804334e-01
4.615000000000000768e-01,2.834970677420750040e-01,4.607042225135966618e-01
4.620000000000000773e-01,2.760530475886441293e-01,4.964513932917024031e-01
4.625000000000000777e-01,2.724640255739388950e-01,5.362952843860543384e-01
4.630000000000000782e-01,2.782203195953231178e-01,5.768081297242273475e-01
4.635000000000000786e-01,2.978888637017090835e-01,6.193884572787673459e-01
4.640000000000000790e-01,3.353592417413867599e-01,6.612501761562155078e-01
4.645000000000000795e-01,3.944421046137527864e-01,7.030865453910969398e-01
4.650000000000000799e-01,4.778162796820810132e-01,7.398725644025158088e-01
4.655000000000000804e-01,5.844704045494786282e-01,7.745739361242274246e-01
4.660000000000000808e-01,7.080111108431308420e-01,8.092245661454915417e-01
4.665000000000000813e-01,8.380974773634720654e-01,8.439780056631507321e-01
4.670000000000000817e-01,9.642012053824362550e-01,8.753376394805847394e-01
4.675000000000000822e-01,1.078261479468278328e+00,9.023625935099168771e-01
4.680000000000000826e-01,1.175047608699680834e+00,9.242013132091113636e-01
4.685000000000000830e-01,1.251428344953549043e+00,9.371608695531884470e-01
4.690000000000000835e-01,1.305567951629489798e+00,9.341775643697630693e-01
4.695000000000000839e-01,1.336367000784420611e+00,9.245443725768390797e-01
4.700000000000000844e-01,1.343150753503376649e+00,9.057216412696259544e-01
4.705000000000000848e-01,1.325534477406651312e+00,8.851842112171434129e-01
4.710000000000000853e-01,1.283406496975039168e+00,8.605276811717654795e-01
4.715000000000000857e-01,1.217010703116846670e+00,8.294498872983859794e-01
4.720000000000000862e-01,1.127160139555193563e+00,7.971121816927719816e-01
4.725000000000000866e-01,1.015649365812386851e+00,7.628296892728325673e-01
4.730000000000000870e-01,8.859116868644049125e-01,7.214137180493882529e-01
4.735000000000000875e-01,7.438447913654417931e-01,6.767785217748709670e-01
4.740000000000000879e-01,5.985385133546220482e-01,6.309254526598319091e-01
4.745000000000000884e-01,4.623236781567717779e-01,5.864511377651339119e-01
4.750000000000000888e-01,3.488825554011544816e-01,5.370619109579095607e-01
4.755000000000000893e-01,2.689320326506671188e-01,4.868760400181271208e-01
4.760000000000000897e-01,2.261425949060147378e-01,4.483871403757121454e-01
4.765000000000000902e-01,2.158314143310969546e-01,4.149484599210225833e-01
4.770000000000000906e-01,2.275363099686986690e-01,4.171974564555170351e-01
4.775000000000000910e-01,2.502120932129248132e-01,4.177575399757277319e-01
4.780000000000000915e-01,2.759946525978807519e-01,4.162928122231299710e-01
4.785000000000000919e-01,3.009092570604353645e-01,4.101120144006905610e-01
4.790000000000000924e-01,3.238701089661442656e-01,4.083325406300982729e-01
4.795000000000000928e-01,3.456406677665395111e-01,4.141247101862005064e-01
4.800000000000000933e-01,3.683505581717909094e-01,4.209543986140427130e-01
4.805000000000000937e-01,3.951376006066644186e-01,4.324836293305573953e-01
4.810000000000000941e-01,4.289644204160635299e-01,4.411801934457075802e-01
4.815000000000000946e-01,4.702862033039512113e-01,4.485740466641788271e-01
4.820000000000000950e-01,5.155652168411114511e-01,4.512365839317814542e-01
4.825000000000000955e-01,5.587745212282861917e-01,4.519946998436868979e-01
4.830000000000000959e-01,5.941710391020313953e-01,4.514107257807289386e-01
4.835000000000000964e-01,6.177589987735081500e-01,4.481095060283826759e-01
4.840000000000000968e-01,6.273576902412515421e-01,4.390406554583498600e-01
4.845000000000000973e-01,6.221941467344576093e-01,4.248383257215479492e-01
4.850000000000000977e-01,6.025390854383144701e-01,4.121055123715112734e-01
4.855000000000000981e-01,5.694970800749367124e-01,3.990155004848624509e-01
4.860000000000000986e-01,5.249197025277033690e-01,3.853171707218120412e-01
4.865000000000000990e-01,4.714090183854359184e-01,3.696087115980507543e-01
4.870000000000000995e-01,4.124027265889173566e-01,3.527364928168509883e-01
4.875000000000000999e-01,3.523247582234452779e-01,3.370297127880740318e-01
4.880000000000001004e-01,2.967265468879566326e-01,3.228178670635812320e-01
4.885000000000001008e-01,2.521208871628429771e-01,3.091535073508094311e-01
4.890000000000001013e-01,2.247193884651099149e-01,2.970893349801219108e-01
4.895000000000001017e-01,2.175288946034448778e-01,2.867156125813711820e-01
4.900000000000001021e-01,2.280245746871791268e-01,2.799027624560226912e-01
4.905000000000001026e-01,2.497513156805303836e-01,2.754186971669534412e-01
4.910000000000001030e-01,2.761347189556366821e-01,2.741090585253934675e-01
4.915000000000001035e-01,3.026573608668844950e-01,2.818647859028208802e-01
4.920000000000001039e-01,3.267754739033510991e-01,2.906213331935464939e-01
4.925000000000001044e-01,3.467719240373264289e-01,3.010299196369363717e-01
4.930000000000001048e-01,3.609313053772542079e-01,3.137524115407368530e-01
4.935000000000001052e-01,3.677523181725153578e-01,3.250528322536758163e-01
4.940000000000001057e-01,3.667049855809562109e-01,3.370176350635654683e-01
4.945000000000001061e-01,3.588122362036326729e-01,3.559361957674241350e-01
4.950000000000001066e-01,3.468982588001262579e-01,3.740556785364129722e-01
4.955000000000001070e-01,3.355249029631707791e-01,3.902957341903608435e-01
4.960000000000001075e-01,3.303186808297243759e-01,4.038171469488288645e-01
4.965000000000001079e-01,3.363934944542090189e-01,4.180322313568314851e-01
4.970000000000001084e-01,3.563727890523487596e-01,4.322432747279396636e-01
4.975000000000001088e-01,3.889968772141196851e-01,4.462446308249380378e-01
4.980000000000001092e-01,4.290966052286084853e-01,4.587922954548762644e-01
4.985000000000001097e-01,4.695358879988965062e-01,4.718326951583212692e-01
4.990000000000001101e-01,5.041804757825274486e-01,4.861559065650514766e-01
4.995000000000001106e-01,5.292357420654567601e-01,5.042365085414985959e-01
5.000000000000001110e-01,5.416882588822851119e-01,5.251259805728033525e-01
5.005000000000001670e-01,5.374341402064661821e-01,5.470976334165680299e-01
5.010000000000001119e-01,5.124513333863809361e-01,5.726785186707854525e-01
5.015000000000000568e-01,4.655606622563882024e-01,6.048922634867380799e-01
5.020000000000001128e-01,3.999178843352402257e-01,6.388773247314130099e-01
5.025000000000001688e-01,3.239827032361506931e-01,6.821958384128459230e-01
5.030000000000001137e-01,2.533297646714565698e-01,7.261069935072547166e-01
5.035000000000000586e-01,2.109516374934554128e-01,8.062612560623201308e-01
5.040000000000001146e-01,2.231936970824691113e-01,8.911522650446915828e-01
5.045000000000001705e-01,3.118033330342934173e-01,9.646258964793339441e-01
5.050000000000001155e-01,4.832792391259285725e-01,1.036876385009679158e+00
5.055000000000000604e-01,7.233028210362830723e-01,1.131689391010010981e+00
5.060000000000001164e-01,1.003397702217035059e+00,1.224111228217034997e+00
5.065000000000001723e-01,1.293075304885052734e+00,1.308747952524321967e+00
5.070000000000001172e-01,1.566123189760979750e+00,1.385036774414296179e+00
5.075000000000000622e-01,1.806896667456691308e+00,1.448887297722751821e+00
5.080000000000001181e-01,2.010437685412127529e+00,1.504751426044970142e+00
5.085000000000001741e-01,2.176768928343154386e+00,1.554599960597033759e+00
5.090000000000001190e-01,2.307381797535758672e+00,1.595931520798167025e+00
5.095000000000000639e-01,2.403925329847999670e+00,1.631694606996381580e+00
5.100000000000001199e-01,2.467769307778115095e+00,1.664375988147390517e+00
