n,gamma
20132,18150.8607626145739321297837449824755
20133,18151.2828671115170218142726920240366
20134,18152.0837706392845684662266480248229
20135,18152.7886220204788150672527510553986
20136,18154.1542843892222360641477502114339
20137,18154.5899846312057855258390904427291
20138,18155.1532141146003484118475072889694
20139,18155.8120547550201770495391209675500
20140,18157.0080243353077913988099345544074
20141,18157.8959027974858102330798634639549
20142,18158.7063772287169071919785502274679
20143,18159.6944850656437131085505305610301
20144,18160.3465934232490027686434859903479
20145,18160.6880858400267825050998422683700
20146,18161.7884638933377649151144611463182
20147,18162.4213325378373858824318137728158
20148,18162.8983926414961734758824844862606
20149,18163.8541843049064909515220636885134
20150,18164.6502823140442380223569363010627
20151,18165.8252592079022438020065827581926
20152,18166.8154480318155893478916271202375
20153,18167.4971512566525558381817900568127
20154,18167.8466894376297222870730095241759
20155,18168.5210181020869795592903214941068
20156,18169.8874311243708143081108477424771
20157,18170.5627912934793012613662823529113
20158,18171.0300306206458494292537520225360
20159,18171.8274114660414954359475971285276
20160,18172.6432259801059182545743091686497
20161,18173.3384523371026756285533593100986
20162,18174.0590131145051556898259226688773
20163,18175.0802151240169058857837349058561
20164,18176.0055266342726676076287702656147
20165,18177.2983720636647295882684396414995
20166,18177.5571141822510073153839416796768
20167,18178.2659314113488683547876594121431
20168,18179.0846006618773931238068900887568
20169,18179.6661838136396284553906634468001
20170,18180.3384726078510033404581403657551
20171,18181.1928557735710414930827817211782
20172,18182.5104955757582226558011893957298
20173,18182.6670302933968606643147394463359
20174,18183.8981930994380006906629546149317
20175,18184.4006672828029026593765807927963
20176,18185.7098118045760278528685727672656
20177,18186.3042343863186122381080601432412
20178,18186.7352258617632969334755901442180
20179,18187.9159129292092641848162681985533
20180,18188.4834975895461022764682492792922
20181,18189.5949854382283916063594261212294
20182,18189.9160497239202185053723903200628
20183,18190.6810598093827571117635050955323
20184,18191.0834400966474235860617924164546
20185,18192.2295099161704078515827469236008
20186,18193.6769613927974879935024074127405
20187,18194.3275141740975312682313465252791
20188,18194.8774126440181673979738659631924
20189,18195.6646442303077982260677464644754
20190,18196.6126003269241311429342046501994
20191,18196.9931832605096827918221455390586
20192,18197.6957634778054962139804245939354
20193,18198.9230322589238438023832120135253
20194,18199.4747498478475827099307445475862
20195,18199.9939902075234766090326737095271
20196,18201.2258906280706612718083940586142
20197,18201.8274947196203473622093152404625
20198,18202.7175301885914043582504466116174
20199,18203.3902576855895539503830923197026
20200,18204.5104974119102193595569801280027
20201,18205.3661719509517538213051698011921
20202,18206.1556338227942928462016144240227
20203,18206.6278226672406455706305988628346
20204,18207.0418276589756801320067523748775
20205,18208.0364042711134254929221863406729
20206,18208.8926488217531559382506233220992
20207,18209.6270847254181619946625183620638
20208,18210.2651693563696630520612635558102
20209,18211.7374505235250650644167421141370
20210,18212.5555684904853084248925221576585
20211,18212.8869753694838021394889308065821
20212,18213.9310094504195952804348434053206
20213,18214.3583009682947195608851258067419
20214,18215.1061959552823586403116921966942
20215,18216.3133071323360408163026287743462
20216,18216.8404673567892869389361066677579
20217,18217.7967672689538080877111979398295
20218,18218.1413638185097456513909353088767
20219,18219.0406468713781147536101917186441
20220,18219.7036502416414718209363169680111
20221,18221.0434420544784407010231284031246
20222,18222.0085261445411894000083926371418
20223,18222.5670562514308813271008944283188
20224,18223.1412000302331056410956629242983
20225,18224.2106693352578456442007134717604
20226,18224.7601997039435577992040869392450
20227,18225.4978268630749989309960504561170
20228,18226.0380937770063754740395398083111
20229,18226.6148664548915184391204375096448
20230,18228.2281071519516168305271036278993
20231,18228.6027241667857284975824959577111
20232,18229.5985893052748093046298711924597
20233,18230.3845581673899818518896630220036
20234,18231.1304894144922810660619583130246
20235,18231.8013340034537927001097822926929
20236,18232.9633758564720195853582247865417
20237,18233.3113887397225605555331090780289
20238,18234.4113561357699629984191639036207
20239,18234.8466084368956862198566073804424
20240,18235.7970109547541928994422779710996
20241,18236.2879746697260753505237429673946
20242,18237.0440731763158367866836381914810
20243,18238.0599161054009770342964064930699
20244,18239.0903489972770459592058632781671
20245,18240.1068326758466671665934435187532
20246,18241.0201861858699363586602259600082
20247,18241.3893591962042127010111015638433
20248,18241.8359402859793983457908140529905
20249,18242.6256284938372259958447282827644
20250,18243.7299029981357385830677822087725
20251,18244.3318267388004672552157508825601
20252,18245.2902439569607639105545995365630
20253,18245.9935188958078635104474542471636
20254,18246.4039321923239463632634431260439
20255,18248.0287780070177831017093731467621
20256,18248.5568077450002322442363168754018
20257,18248.8991211867465600851840486813361
20258,18250.1953467854515605578513744273767
20259,18250.9419225237292989167476066836095
20260,18251.8408810450442697085203591278729
20261,18252.2862771712801591682217469831594
20262,18252.9409988008973804445876033285437
20263,18253.9268141320030095705546831053493
20264,18254.1616740303585623402088745133902
20265,18255.1793659307380541654396962457930
20266,18256.5981167737357763512251926762195
20267,18257.3766359201185538839222247840762
20268,18257.9129427638447937400287775716689
20269,18258.8238557074716176939114164034890
20270,18259.3860934545329933543529548804926
20271,18260.3508586481425402468984039802266
20272,18260.9104664265500103438346013850881
20273,18261.5893092304357609168150392159709
20274,18262.5815481539662446606991236959010
20275,18263.4634941510437911126425370780032
20276,18264.0686743734552479652648882285712
20277,18264.7715612702203806196638617009507
20278,18265.3961588449953070267175606600434
20279,18266.7258458897094030259160441155043
20280,18267.7828272042674158730410114432674
20281,18268.2629745155494432559675967894043
20282,18268.8478734696080446023113409043147
20283,18269.9494373005396555131403608138363
20284,18270.2652331202358243790592501709999
20285,18271.0258382740813706547547583639831
20286,18271.8774811753063727787028947163758
20287,18272.6139656160784238355947938275549
20288,18273.4186996485048873938474376210026
20289,18274.5661048286318231318672846969810
20290,18275.4748080127524472488585234337692
20291,18276.1651039525269787045071171152845
20292,18276.7717409857780817377331473262349
20293,18277.6221679215988959155363847830049
20294,18278.0078098502671656293974526378279
20295,18279.5307378933918003249539794997130
20296,18280.1036191774059950843463748294208
20297,18280.5883189950240908417134608583411
20298,18281.0769364912055910481575432856347
20299,18282.0370449161487125825108576085989
20300,18282.9973917811889965995284889122202
20301,18283.7699564794770020560661110896275
20302,18284.9429123615908911320978120435069
20303,18285.6262837595909753693086148554445
20304,18286.5133202696189715654494296456127
20305,18287.1564861046364685117872349868652
20306,18287.7632852650534599206021113508660
20307,18288.4766162185298634462459048369527
20308,18288.8827862200281089109338216772000
20309,18290.3411083649513769850157425243208
20310,18290.7261440450569426689289599695527
20311,18291.6523622233116478672309564151162
20312,18292.8864718308546111027826288489407
20313,18292.9813370424011763418600705923584
20314,18294.3204045408486983533011109224204
20315,18294.8376757495032520716746031051018
20316,18295.9849497382399979418112735797436
20317,18296.5391952630493494510303566715130
20318,18297.2028633270901791373189927033637
20319,18297.9719468986121707272377880521603
20320,18298.9761077760488483698308048410586
20321,18299.4445261857879664512778330141088
20322,18299.9204470865492032453116589086802
20323,18300.7818302322967780843032298136990
20324,18302.3412738191416566535132124375837
20325,18303.3132004789050564295085940013941
20326,18303.6104097071904450317178899388901
20327,18304.3735711926410901238495160590310
20328,18304.9640826760201620228764530619863
20329,18306.1463815508282207519471525929038
20330,18306.3885401542495825736830425242628
20331,18307.5522486620073627145234080875834
20332,18308.1025978253193508744189807465944
20333,18309.1199912760166140503285066364633
20334,18309.6341220194408605630653798916707
20335,18310.4774009413191376128865382914733
20336,18311.6485294811066541988327976742608
20337,18312.2656555689670369495118705165091
20338,18312.9096409829871520298338342286826
20339,18314.4083565841578794986010560701308
20340,18314.6414826410055149939667971274829
20341,18315.2638176601095331774682917555082
20342,18316.2748243606537921415879146469171
20343,18316.5362824560238801193899401518205
20344,18317.2793633569024914645316471759488
20345,18318.5105715788209368345841520103787
20346,18319.3794334676711258208321159139724
20347,18320.0318825904421397403361830285415
20348,18321.1165843244591257539598702494845
20349,18322.0888251064498721438844931076368
20350,18322.4823649819974130705678657509159
20351,18323.0159128227824459335332822885077
20352,18323.9166478287853629130255867490876
20353,18324.9749663224568027013980831842507
20354,18325.5682165059214317741634335469897
20355,18326.5934911749620747716870288322643
20356,18326.8378536673387346970128062330209
20357,18327.7322028392939101438354374393346
20358,18328.4355805547552562336618891886261
20359,18329.6982014384593496700203007631329
20360,18330.6374333339305960320702961654779
20361,18331.4667913203685663804052507096669
20362,18332.0402177698624489044425057682095
20363,18332.6336618507866716514724222334420
20364,18333.3523423587537175120579744574870
20365,18334.4512761722720726182610505022148
20366,18334.6904238505198156009270834447755
20367,18335.6045596331222611146903894362661
20368,18336.3665906482087023548162557458249
20369,18337.6148084868894838567088429782673
20370,18338.4417581591853228114970535858643
20371,18339.1118237818086085180704756778151
20372,18339.5899806474538293393860978044400
20373,18340.6006878572934616781661485257366
20374,18341.6207813377187409814990680350736
20375,18342.1796974349944169749867605355482
20376,18343.0779151838090584387277269553411
20377,18343.5925720974015512057436236116384
20378,18344.3083303520919480072453380783123
20379,18345.1227086388678400034451298514732
20380,18345.8855792700307419869363693771751
20381,18346.5100940915756860250687318802693
20382,18348.1308758271277045698469605437652
20383,18348.6472150738364610552111730372443
20384,18349.3213824805093209237475574702534
20385,18350.4406197787833788362415449854351
20386,18350.6811378817647679642487333762477
20387,18351.4330218499199000436465470983003
20388,18351.9709204619534707183748004982385
20389,18353.2271959662199751628404860905853
20390,18354.1369051296343228706630456608841
20391,18354.6733357330083298700564245817804
20392,18355.0681816694579745473235530617328
20393,18356.5184612584780124153467475566761
20394,18357.0601625615709320562995534159848
20395,18358.2425031571673184094116903844990
20396,18358.6387211075656731193773365184914
20397,18359.4700859765958304494785890615856
20398,18360.4997326298220410195102664457100
20399,18361.3087975281000055937771924081475
20400,18361.6992512073898248084291314767576
20401,18362.0965752184035236034178560785951
20402,18363.3392585313305259417379560132588
20403,18363.6962214515368301967961523411637
20404,18365.1810282003785768492423350880964
20405,18366.1027338543429834115084614318667
20406,18366.7752352501751394238177722531367
20407,18367.4020134410362261238061022849898
20408,18368.0698257658273616864934418977591
20409,18368.8878814220508555686179021007866
20410,18369.6941846974001301449581114888172
20411,18370.5599366488646775092690897164319
20412,18371.1306311429127065593178976335924
20413,18371.9571116945546237399684796881664
20414,18372.7729875516797476422870516194869
20415,18373.5158813290551270678864097293024
20416,18374.4006446125121183000555923875205
20417,18374.9539803183675322507102683746905
20418,18376.5276651860344954915596668280498
20419,18377.0715244441273808504972341109106
20420,18377.7233802085867076183287089684059
20421,18378.4215243954735116181849830092119
20422,18378.7954916320014925288097019553538
20423,18379.9496037249350227204722552265049
20424,18380.5772273981715120732102672185848
20425,18381.1082582794220193520180545766385
20426,18382.3462387590606731458653302543094
20427,18383.0296702773701328068774356440042
20428,18384.1418846156645610437550658525742
20429,18384.8378607998441100018839463993627
20430,18385.6165036678904765109852247394322
20431,18386.0455241389652310792920530845752
20432,18386.9755811324564384437843804781205
20433,18388.0116412200490206299604452778117
20434,18388.5577451816995835867754095820912
20435,18389.5589536066395491615663502105902
20436,18390.0448351559290251025622134435351
20437,18390.5844793241035449410376199327983
20438,18391.1944808618567806427930865843840
20439,18392.9653078375901683310511407603388
20440,18393.3817635077541713437822219993219
20441,18394.3200271547395474540670068689032
20442,18395.0658651194114563188406799103528
20443,18395.8141785312056843289354739304531
20444,18396.5830729825906309219008216904320
20445,18397.0882107594489537576218138691607
20446,18397.7328978809932549360198574291794
20447,18398.6007683967927406254619434838313
20448,18399.6523160043621978560187728800421
20449,18400.5623790148708751184280449372018
20450,18400.9314335748524783794422466145134
20451,18402.0848317877825336164396954398410
20452,18402.8813160030378042909171452752042
20453,18403.5265372450479874083040198516311
20454,18404.4211538958370153449530333039488
20455,18405.5855094441997245825389042057443
20456,18405.8838621852683656514316443954342
20457,18406.5138097203234214458210647480151
20458,18407.3750833357692561193202256809516
20459,18408.2191746499752122847985841035777
20460,18408.7534148137073511044362040092117
20461,18409.5217320088326049730738672415174
20462,18410.6148849264391176599900477865953
20463,18412.1744490900637506338811487895504
20464,18412.3381355740872137860119166188106
20465,18413.0147754773077499970972601468429
20466,18413.7357906976110966121256728218171
20467,18414.3853204886631196204856602856222
20468,18415.2338016428917301890352435481168
20469,18416.4276299834703869908616566973548
20470,18416.8364867792171239705312011283958
20471,18417.3961269417809603056669244622923
20472,18418.4358758615661536028618711364266
20473,18419.2329452646953570282477679333505
20474,18420.0447045736997763950252037230660
20475,18420.9688439293618147182369606047390
20476,18421.8200368320687733845838552792491
20477,18422.7440445961104012018246653828043
20478,18423.2222270257316869447342907002014
20479,18424.2534701348541796397720489136678
20480,18424.7691185548347607337031944056237
20481,18425.3437141300983893558076285610391
20482,18425.8781017535167567158465886501312
20483,18427.0024246601315245247568155759136
20484,18427.9637032050760233539109104198953
20485,18429.0307251287950307906581269325972
20486,18429.7552818392479855789453813689659
20487,18430.1105158608291500299578248596363
20488,18431.4381803421675381303460892421698
20489,18431.9488988256894012390351192921148
20490,18432.5417107444705971171104687608537
20491,18433.2443310553737137662928131791158
20492,18434.5784659435416212651619324374558
20493,18434.9488220268923376081802440488830
20494,18435.6245726513193817815336779190186
20495,18436.4999586185608154917558526640433
20496,18436.9229814746191575887694631666565
20497,18438.2426728566108432552762203247950
20498,18439.3531552078111988110590007298253
20499,18440.1049399120712851324802530767091
20500,18440.6140169548125025873939863769847
20501,18441.3941142865138833753491441874794
20502,18442.0847555657062696802284200976387
20503,18442.7033693755643748918896058210204
20504,18443.4747629707466689634617521329960
20505,18444.4468548489092002949942191028162
20506,18445.1170284485826374908670720823637
20507,18445.8202330605263228407599205456649
20508,18447.1015230351280007630228951433953
20509,18447.8990594828385030982751763184382
20510,18448.5304787042412016023440544272317
20511,18448.8651216718417667337871425139561
20512,18450.0495271505702986528540937075477
20513,18451.3240978148991008790127559129705
20514,18451.4586177363371369434262533743745
20515,18452.3011903819687292526855428601778
20516,18452.9111023764991410372500648782023
20517,18453.6105596677492961942319614592057
20518,18454.6045733239585964497059506823397
20519,18455.1625425884221839711254791005257
20520,18456.6709119728030536874612981930529
20521,18457.1357786151736548941824108797552
20522,18458.2431280290911128979403301376546
20523,18458.8923415319346784770410116352276
20524,18459.2166711265898956186605862561754
20525,18460.0920630111544997307597663859561
20526,18461.1106212177417733486914804445842
20527,18461.3173478832274111962408182915268
20528,18462.6949496527687614492397464803251
20529,18463.3946069728181842884318312142384
20530,18464.1367085923398965884624424327000
20531,18464.5464607349511277102103089573589
20532,18465.8785020455667846563383182991429
20533,18466.6408735641670188910038730826191
20534,18467.5019202965441330412649398827323
20535,18468.3711119018712670197107702424313
20536,18468.7022143848755324249927114730818
20537,18469.8011314885312438168047976684720
20538,18470.3830185843106196837559952138617
20539,18471.1907954345875611744547799630561
20540,18471.7558980171500652551356843654799
20541,18472.1258341543920034985639882173606
20542,18473.8754046744643523745734420733865
20543,18474.7056769626093513367327088635298
20544,18475.2059942132331933392708449523249
20545,18476.2459546278613128858467708121030
20546,18476.7707300943296877351585941363096
20547,18477.2231254347593854104439135448718
20548,18478.4381612467388692648553107013167
20549,18479.0932164443910495740343088774837
20550,18479.8659932529041702247260984073401
20551,18480.7642896267154509293851114832461
20552,18481.0410403741347062862219926118637
20553,18482.0925096107338774229056943123994
20554,18483.0765739539869849981220648558502
20555,18483.7328729605480902643839871259415
20556,18484.7761828715061906663518991271732
20557,18485.6332013608037798941871472615125
20558,18486.6361988188272263225996517154319
20559,18487.0738073675057799495987843025004
20560,18487.4849072610191579656521087261242
20561,18488.2742164342643854492643442647338
20562,18489.0247602435493332791265011859035
20563,18490.2318690219590783606974125356198
20564,18490.6379647421480716267094569122570
20565,18491.6304794050965796212783880970693
20566,18492.6531372734471486865149783556344
20567,18493.5589548483109215554689227833165
20568,18494.0352040783944805374299681475837
20569,18494.8217822153330141865480284691639
20570,18495.6285949242484648732232627187554
20571,18496.3820909082251183270447403289862
20572,18497.4170381645900570760805044588326
20573,18497.9251208910259533442064569655218
20574,18498.7170482477408302635218530648411
20575,18499.2273535014787202432398729651391
20576,18500.0475343021785981099697942069944
20577,18500.8109292384068871719172389042552
20578,18502.5281604580100665670847533360913
20579,18503.0109530924459055964441961003311
20580,18503.5709454242834994370810231076073
20581,18504.0725499644973259163619507437347
20582,18505.3736738955728200903226454009788
20583,18505.7112384051826950046015601833580
20584,18506.4496177516309742891813652985552
20585,18507.1040964115357317553495205490629
20586,18508.2169902313548372604768228778101
20587,18508.8458894654591051875025057245399
20588,18509.9326985193628215574837485030162
20589,18510.6029324480881844184809640981123
20590,18511.2189632527130557303066569211413
20591,18512.1995986798712986598672206464364
20592,18513.1987786451774458948962868157188
20593,18513.7734293360016766461306996594969
20594,18514.7354021823739993311822971389409
20595,18515.2047111498855869661376876415466
20596,18515.9672212679650305731089262174598
20597,18516.6666528028169610463596943720402
20598,18517.2252640610264758631899338519974
20599,18518.3638667238118722702377313049334
20600,18519.1146479772169052143903088574580
20601,18520.2809528065976209449799847624233
20602,18521.1966509668447216430687326364435
20603,18521.6678286315060572494470294966232
20604,18522.5133208131026023438214949253605
20605,18523.0196506886265378368508966818176
20606,18523.5001859990949595738754515268375
20607,18524.8995637161999477027944851538712
20608,18525.7595066413431666272605114537449
20609,18526.0067156873213217897858321795214
20610,18526.9512394171337612289370128011302
20611,18527.4904613109832854399928030961249
20612,18528.8063296702742895325261384583626
20613,18529.6481280795975288841313346946333
20614,18530.1590502404386396851354723439491
20615,18531.2974210499716510835056457840649
20616,18532.1414250304099154023343580111807
20617,18532.4848118243989842955889070938874
20618,18533.3263778883127760067953435879560
20619,18534.0726599541881571202172933713582
20620,18534.7126411237834868681589948929569
20621,18535.2345827858334968935641730308560
20622,18536.5042892785725444198634665215939
20623,18537.6002136209195113040697744580603
20624,18538.2295645831661670990996498658259
20625,18539.1407161106243692505954159435633
20626,18539.4366524278639783432698183934026
20627,18540.5946479603323497018238091878368
20628,18541.1685269357639761270433480557706
20629,18542.3534243555491043986354329369235
20630,18542.6231461652970271819723065583817
20631,18543.2913957515038178153296842021009
20632,18544.7187790252799639251996709023859
20633,18545.0086515038937787262490228828210
20634,18545.3536881355762177605262783317157
20635,18546.6384778234426963206010187304675
20636,18547.8930024877052810092240502298998
20637,18548.6262985673833152526669495605441
20638,18549.4055520257965704353013219688027
20639,18549.8908383323541141302600950860166
20640,18550.5706550587397560158428622695181
20641,18551.2955812237632271735833605518401
20642,18552.1553739086669465711450077957687
20643,18552.7724721365172726516222237696080
20644,18553.8024464107988112327620741888308
20645,18554.5516340938824907997925911615217
20646,18555.2839249391759725116065530027712
20647,18556.3659729161375075863735081370136
20648,18557.2281512697715623477291483364454
20649,18557.7420979956308872466538229272397
20650,18558.3785321415914778262535859685477
20651,18559.4223289412534665200012549848656
20652,18560.4213503099088956924918272260118
20653,18561.0158059151613530047588433944095
20654,18561.5557120988774888375264465449884
20655,18562.0076002673962952414435950195604
20656,18562.9375051287416295507050137826135
20657,18563.8434302456887817568123944854933
20658,18565.1768374327525512550196834362646
20659,18565.6876146834874563650886734934519
20660,18566.7147688822267489384664089707806
20661,18567.2625528291433091569428935155504
20662,18568.0951591206704650866427552368731
20663,18568.8422864850074701156999462799168
20664,18569.0895447217803708417456218004509
20665,18570.2995478347518245626500096284920
20666,18571.0646021131844976528109177435953
20667,18572.0428692499964679953680108882634
20668,18572.3342377642206687156167815227100
20669,18573.5636680842186182271292078960500
20670,18574.2591155347241781556722237777692
20671,18574.8262707821712192305776342768679
20672,18576.3243155676750108803300919782732
20673,18576.9277569132435609181924771597222
20674,18577.2836489289890775913012658394513
20675,18578.2836231754675538046000007662933
20676,18578.8479548072139327325610020889152
20677,18579.6291529224101034588321456443072
20678,18580.3994733234203833966428032404325
20679,18581.0956259140336535462947155522863
20680,18581.6963075587610609747165068746063
20681,18583.4622838271654973615094824714870
20682,18583.8870020462308317243516348317234
20683,18584.8516704928298264542678681636279
20684,18584.9788150670692153836356568017557
20685,18585.9577233106145408246339695117315
20686,18586.9743338203109905977996632187267
20687,18587.4968391621609111872918917344630
20688,18588.5078324619823625303699873327723
20689,18589.3799483275749733056225579976809
20690,18589.5821218425539570523816032252565
20691,18590.4950397172601773911053377464963
20692,18591.4951765113233494723492248606425
20693,18592.2981009638841432855295890867834
20694,18593.4647519999076406748549258648729
20695,18594.0172334032661726299725467958375
20696,18594.9028462231939394903592692180807
20697,18595.6501875532393426956320214007934
20698,18596.5070785134880826971885831740863
20699,18596.7801467943532441545938010501614
20700,18597.3925815990467779699199357387947
20701,18598.3766717596767554342218582325437
20702,18599.4894746411229745066695570121684
20703,18600.3798420487569556226878046945087
20704,18600.7762862632827237328700940823616
20705,18601.9333249187651540839436018643303
20706,18602.8163340390329123870064708166965
20707,18603.4263155075414884047353330715991
20708,18603.9563568632476458542335097873801
20709,18605.1182006340175067271043315249538
20710,18605.6565980483161918120254246438581
20711,18606.6409090491963018995987408008805
20712,18607.1601251264537277421393447846553
20713,18607.8613208607100912903784528979631
20714,18608.5816688309663329697207549035888
20715,18609.2145088401901199634443012139004
20716,18610.7842173927111346553934138651502
20717,18611.4454445527124224923305845424129
20718,18612.4443637032493130504994086680911
20719,18612.8137348466325291924992522551947
20720,18613.5107072060808162054789263418792
20721,18614.0457950438666621700292685902349
20722,18615.2768998643005074468539505727235
20723,18615.8067729221672966886624806257270
20724,18616.5249809287471431440391936809482
20725,18617.2689017421212724909995412903722
20726,18618.3481182603245535731159934513495
20727,18619.1955932844853116574870325868173
20728,18619.8230203155332104679438145772509
20729,18620.7776820779548816952578509337623
20730,18621.2202335033526930048362240139727
20731,18622.7162959699213861707659583940906
20732,18623.2510558495367851190907735321921
20733,18623.6152375833026327852837842237995
20734,18624.4028829030484319409435966543583
20735,18625.2867123617316126499744145679486
20736,18625.8643495454859885254280922145546
20737,18626.5339967981836787257855322775441
20738,18627.7136519317899153035952960318406
20739,18629.0241374752242563301210838246430
20740,18629.1788400508243539678022432913063
20741,18630.4314790599084230787283517747040
20742,18630.8440232637649890963976037061688
20743,18631.8687880360528073139171721282702
20744,18632.0584277700146139231895992294544
20745,18633.0028796673287913717701081976160
20746,18634.1905852387419547270857147518276
20747,18634.7869966473000804515320104216899
20748,18635.5483330995461684064037443734772
20749,18636.0651884235318686632438460283863
20750,18636.7882149849755439487932290042248
20751,18638.2572086249902677584255003993600
20752,18638.8846562493861420715609381306558
20753,18639.7162911768432057459571714946594
20754,18640.3634995968199381825828871582223
20755,18641.1562258592135862897275742985135
20756,18641.9421062024519162295768203236369
20757,18642.7051598540425172409292645925803
20758,18642.9597203851067221769127848730743
20759,18643.8577192162385448191025738079604
20760,18645.0251842314386424289402903024716
20761,18645.6350910360081390625926979853009
20762,18647.1911113286892114194378369884693
20763,18647.4009496166190165983739579541639
20764,18648.0015781352821948886690438783255
20765,18649.0686444611160782895899237977323
20766,18649.5293893817290665211502530700671
20767,18650.7578421221028246879240980772791
20768,18651.3318141295406780666023125739373
20769,18652.1366680262265927699886975843339
20770,18652.5312820649796256206020652183650
20771,18653.4158825462365952914949399024795
20772,18654.4274105615742513810665748407994
20773,18655.0074133714487255588925331436469
20774,18655.9078056201155555710492036756552
20775,18657.3497439912421157645160890596343
20776,18657.8728495151143528835094157748747
20777,18658.5345219982116128027055388818468
