n,gamma
20001,18047.1345303362033692950427631423529
20002,18047.9999909273006116518135772341143
20003,18049.0183456566556538701000404942743
20004,18050.0775108784133076899188413240054
20005,18050.5377580753225094508975423139616
20006,18051.4354648247958390485338644394375
20007,18052.2051311690021923876285028221163
20008,18052.7795313457556426515046965362247
20009,18053.5680633731710709282627962108757
20010,18054.3162282359303335710606677019761
20011,18054.6918037812934943024784369853091
20012,18055.7941492729068337240516544093619
20013,18057.4022478686907521285617026294584
20014,18057.7197545410534271900860737004675
20015,18058.2344953050582169817481511893104
20016,18059.2332846545244318295083698085708
20017,18060.1878576324386499831271378946404
20018,18060.5629593752584802566382347060261
20019,18061.6908738196637732813882926087513
20020,18062.3306972584416046872343018702170
20021,18062.9385879288106699301437588047445
20022,18063.9675825150377519263579045412563
20023,18064.4902865592520260668205179422468
20024,18065.1437761490158731351797504421673
20025,18066.1395744946525209213782322581382
20026,18067.3467690049180563206787053852354
20027,18068.1622487969290618716467711155077
20028,18068.9190022866493204646052226247012
20029,18069.4922359067976679595400026618311
20030,18070.2967324940967484546713559028486
20031,18070.7746914239409516955296497528685
20032,18071.3799324238331310779613268382961
20033,18072.6872860510197576672817281062111
20034,18073.2844916370453398019654708820107
20035,18074.0495601060973819235033264955499
20036,18074.7523273672169461139673450616749
20037,18076.2628352329111194306225678224436
20038,18076.4565571565818125442066139250531
20039,18077.5954568568466738818893123744182
20040,18077.6907569096634161959206799630548
20041,18079.1592896722216408451576718876820
20042,18079.9321889541251391113535187474108
20043,18080.4167078091976080485521679864112
20044,18081.2260429686111041856512673497337
20045,18081.8633771446431740880827007645620
20046,18082.2193652205547028405666163135764
20047,18083.6497219273388651213060360789111
20048,18084.4075021904844439402305431329068
20049,18085.7107265282721319519054874631382
20050,18086.2275588983857765461551294028529
20051,18086.7292002318189648545519566981408
20052,18087.6380632232782005704134145118898
20053,18088.2949455443235008322252126886848
20054,18089.2346080892577627746057966789549
20055,18089.5547675276575891559162724262956
20056,18090.6852093662342867082120760988756
20057,18091.4971004929391134001685188772321
20058,18092.3845226366252369391091612495203
20059,18092.8490880783897603585445276091279
20060,18094.0092100688036153086342400504315
20061,18094.4578606786648683988857679653345
20062,18095.8715365291904557553966469178129
20063,18096.6179921356911606540010994169956
20064,18097.0933864581767091523090861664048
20065,18097.5470582606303532237292402300558
20066,18098.7745262217585656823513007208150
20067,18099.2215389785684951358847744075504
20068,18100.0224594583919586493869626107457
20069,18100.4722520077251524742382267979569
20070,18101.7739963259230236211974667277336
20071,18102.7561846990620680085052545525381
20072,18103.7635356715643487534161906720446
20073,18104.2879489396286576389391522451563
20074,18104.8436181887394734739908905244428
20075,18105.7863191631677434405409130120588
20076,18106.2122925511508860946962700958053
20077,18107.4085053282706900415842256946033
20078,18108.2716271544905328622787707919794
20079,18108.7315906866839010625004909045688
20080,18109.6862209834357547561375937611661
20081,18109.8320415162758088446973597012194
20082,18111.2415401219366153559311829311615
20083,18112.1448170666209025713624021875108
20084,18113.0834561128611700473602509213225
20085,18113.5668931561429270801001075975081
20086,18114.7524342313899552182641129552581
20087,18115.4012989186475373778442656877509
20088,18116.0331985695238256305083107926291
20089,18116.3286020912412095748009525390139
20090,18117.2581460114637911451014191415590
20091,18118.1414712556957805332890227092586
20092,18119.1223940496569212119807971198183
20093,18119.9504117285861635591490860375684
20094,18120.7501377009159266230050090971414
20095,18121.6828127087630529763936467814123
20096,18122.2951623656355875337185031910448
20097,18123.1734751104747950742002178310031
20098,18123.8121658955782007172447533541089
20099,18124.7492345013405131512647374254937
20100,18125.5266804711490975743995031250114
20101,18126.2709181664894122685565690348921
20102,18126.6497761228427856341891268411980
20103,18127.9044852452661538350160901417291
20104,18128.3999173770145696938619530294112
20105,18128.7033678185558074591142919847082
20106,18130.7675654368631543267561758996636
20107,18131.2193814380289052408012436684763
20108,18131.9602135950292899084123759524017
20109,18132.5824107990978229374936428302123
20110,18133.1811961898208062758483646093227
20111,18133.9718369182515756870760437339234
20112,18134.8985465683784817995791489503507
20113,18135.5849019514356176926694425779614
20114,18136.2879809334754670236056901870873
20115,18137.1026632435023564881924319298882
20116,18138.1041991682982706288976130329884
20117,18138.9764276422105342433061437193400
20118,18139.5784296393674343039967443508292
20119,18140.4294325941985550851667771409378
20120,18141.3696675384196783499964571603580
20121,18142.1078725807106684259168543657887
20122,18142.9770499735884409899835188698864
20123,18143.7500131517869628835503937606110
20124,18144.1707907677358021065632817604153
20125,18144.7699824453493858138531939282292
20126,18145.6830527616934855146125960295662
20127,18146.4034164633567315829842229966191
20128,18147.9149098656899797864620093897454
20129,18148.2733890102416749053187370564533
20130,18149.3010362140144093669205319057355
20131,18150.1082128127590316343522834963901
