n,gamma
10373,10195.0982574330776341194594555108008
10374,10195.8564768766028188599163267485104
10375,10196.5830029537309254217665496111604
10376,10198.4067698806702144785759805426087
10377,10199.1055547267500736011669207207952
10378,10199.5827135090257137224001694587386
10379,10200.5298872775479367302541007110234
10380,10201.5150286741828642342646168869153
10381,10201.9778779829600949013000822137301
10382,10202.8531091838713677245268700484995
10383,10203.9142492724859195057664140011390
10384,10204.7231610446022271393867026304775
10385,10205.2833549155422635582483248741688
10386,10206.3629004573818157465046130152705
10387,10207.2250292411386873364254014156905
10388,10208.0603814197252188902218249799871
10389,10209.2686946822224561525531237191046
10390,10210.1094866911439604490132919576635
10391,10210.9988360233854678690502912369693
10392,10211.3831289873932228711329054919685
10393,10212.0187967853332205832599820468203
10394,10213.0432824921891711422175790143413
10395,10213.8856434213754124680617182352018
10396,10214.7819730085364080350391974801368
10397,10215.6573486768154270968799340707029
10398,10216.9314557240131667426798894481550
10399,10217.9476540644954592069287019881222
10400,10218.2830799100661535089592202622093
10401,10218.8107874175200052106950598691256
10402,10220.1264137790556000658724061682180
10403,10220.9687716562054102674167612856796
10404,10221.7513677914922989383079594015654
10405,10222.5664001813044621103728279745700
10406,10223.1090254305884144889942310730688
10407,10223.8782893710751328764577375017422
10408,10224.9898764941604436697582829221995
10409,10226.3558415841829688850399512452563
10410,10227.0557033664085822710149324989640
10411,10227.8029231636039602802433869252439
10412,10228.7019324581457525578817649035953
10413,10229.1618431426103756926976736225372
10414,10230.4592678969421499437685892162746
10415,10230.6577465357491486316286077953411
10416,10231.3862645564230130050726666725745
10417,10233.0814224749254500113289501601797
10418,10233.5371391601184713533711481907149
10419,10234.4314784432798009075993361180321
10420,10235.4370228628635115042266839471747
10421,10236.0974773383191527429061631397953
10422,10237.2415371387439949762272158900206
10423,10238.0296794561870608833587153343446
10424,10238.6681250892697789986055638241038
10425,10239.5404774044777703574409716468235
10426,10240.3278039366678016141223591670282
10427,10241.2141776554474298992584603498729
10428,10241.4918537541817295923794564015439
10429,10242.8323159957348677328803468723683
10430,10244.1730442047219166201278766870628
10431,10244.9133896165116231011766963988979
10432,10245.8347798678137892975996398886804
10433,10246.4331783556903531564596192870207
10434,10246.9333262873510978791231690631755
10435,10247.7744141087889926389444905175842
10436,10249.0655892933154562655474006464709
10437,10249.6902785422974513904905697020502
10438,10250.6577908689714043016216945455857
10439,10250.8946775785867653583043294191712
10440,10252.5287963897584824212843308836788
10441,10253.1874009056266132073535200556742
10442,10254.0429116968274477752837994741022
10443,10254.8898481434336270203475685855214
10444,10256.0760138328537845364888243863539
10445,10256.6991406471199171334140930017985
10446,10257.3868347391575487191203184524517
10447,10257.8946975420414223672174342020660
10448,10258.7479465441017604962080809974990
10449,10259.7333317333110287197366722030157
10450,10260.6638663232221287380556285085654
10451,10262.1550240005748686559942408946361
10452,10262.5852511159563160742172792095790
10453,10263.3063736730666576541048087358824
10454,10264.3177921045348728853763371378827
10455,10265.1589023332562672534165177194159
10456,10265.5925900140418589967069863072015
10457,10266.9380701924065706339067429166694
10458,10267.3614776420423125455876257074596
10459,10268.4333949711151145970318192655325
