n,gamma
40274,33390.9498412869457877317449907449523
40275,33391.5134631358315521957230639204146
40276,33392.1871049597133467988293787295096
40277,33392.4409770896103818278163314484219
40278,33393.2354720687803193198966871063119
40279,33394.5393312725385238168439343794399
40280,33395.4561645970766940711922537731604
40281,33396.1580268195179526926450397559855
40282,33396.9453694992546874810698154040875
40283,33397.2586437705882928082534676677221
40284,33397.9359727047632814003416251282268
40285,33398.8768911161357051087403341152552
40286,33399.4329794959962090853387688079231
40287,33400.0630646702730601289335210431170
40288,33401.1805776203409215867830337536132
40289,33401.6891511387008439923806471099614
40290,33402.0636627456597608742525527821285
40291,33403.2639082054161582985135802574056
40292,33404.0996526300670359229778163943399
40293,33404.7935647008957328471464770142964
40294,33405.0976937838033225853224311052459
40295,33406.4206520819955816783102250955495
40296,33407.2515302991795771309022433371942
40297,33407.8584605175682554710010817496257
40298,33408.1038648881328521923374443015372
40299,33408.9114588546351514564991486145944
40300,33409.6237532415363473210515181566282
40301,33410.1984929179958635443277471939471
40302,33411.1986328355334682129688014648908
40303,33411.8337886555636539286290813321341
40304,33412.8199413382611838333392104032621
40305,33413.7401857549288269913542631958170
40306,33414.4588831514071983317144684568324
40307,33415.0754833760768126422943962642486
40308,33415.5036313237842939212851056382885
40309,33416.4039208895101702686916344944999
40310,33416.9301850499149555226471115959855
40311,33418.0617859499009111866292017596623
40312,33418.4179015552266302732973337420688
40313,33419.4713117170794937476816008271291
40314,33419.9178784487479221673776520699147
40315,33420.4918290098575078453421252401948
40316,33421.2046180667910859081180822668200
40317,33422.2450682125579003843093182329406
40318,33423.5078409223224819200028867375531
40319,33423.9737517573776020084972495319825
40320,33424.3571318065418564009605628729949
40321,33425.2567494006118950217333357625328
40322,33426.0628206285604350727261231431201
40323,33426.5427409781640608662078301785538
40324,33427.2922066052565752491663217753826
40325,33427.8548516788913249872397144850435
40326,33428.4676847293454427118964695920838
40327,33429.4619709450071246761149640276239
40328,33430.7056075192750302655190022018401
40329,33431.0475676108274311967439677825521
40330,33431.7470589565428428430748216438597
40331,33432.6018763103912017839728578075978
40332,33433.3240053390060463828585363248081
40333,33433.8723981370635284437698789799208
40334,33434.8220010784161892666060444739501
40335,33435.6316512956842581231204452033041
40336,33436.1501812779360648492426373193855
40337,33436.8267797628153298548419170873055
40338,33437.3009398337061132720588799332582
40339,33438.2556294744717532087602688154245
40340,33438.8763946452350673286459680050046
40341,33439.6263792268118037199985619926621
40342,33440.8345307714024868357548049804550
40343,33441.5572303992942093924106145183812
40344,33442.2276533910316269891257746678641
40345,33443.0177666796475190638794442664843
40346,33443.6473209077500445684947726379633
40347,33444.0050054019987110879395112726185
40348,33444.3778943648703260511421226100311
40349,33446.0224674802143509753831438440485
40350,33446.2350926556873427300460219786640
40351,33447.0513700468222773859669216832962
40352,33447.8069559634120150381954280473587
40353,33448.3545237122770570585850363188417
40354,33449.7055631848553573113412522032717
40355,33450.0720584381272139731928981134768
40356,33450.7880708402375789923743676765639
40357,33451.6399399266763560788822052655379
40358,33452.4167179919076009848158165454330
40359,33453.1519264077853973261865406938558
40360,33453.8659489579930363209368748589151
40361,33454.3547178314757459945728892822395
40362,33455.1164191417376057249008197328625
40363,33455.6148575324719339364004755031796
40364,33456.2956282119381551055966143064886
40365,33457.1918083532642161744837898307695
40366,33458.5818888242573366496994329110771
40367,33459.1720295283324863037229019222103
40368,33459.6664447202591566841790739184414
40369,33460.3560777861234762410667950969450
40370,33460.9670546339647209590937409069553
40371,33461.9979440289783198320461520550748
40372,33462.4104851524524242602146078673764
40373,33463.2112006019345215410898846095073
40374,33463.7553813583991181008910662897570
40375,33464.7762851303719735866364132305693
40376,33465.5566797910321613103403942552912
40377,33465.9412583605584999248377784219787
40378,33466.7057163036308190416976952396121
40379,33467.6874603843474676929116462979720
40380,33468.3534258043994220600764794605069
40381,33469.6439381854993697519028890060618
40382,33470.0660621123669720916038943586478
40383,33470.5795887998599112183534998310150
40384,33471.2629670670950555686948516289687
40385,33472.0551832210884756821200478061199
40386,33472.6309405184551523982951436940215
40387,33473.2601845235360279118809130108782
40388,33473.9047958348060581040977240134226
40389,33475.1344289936170459420566416516624
40390,33475.5359251672758243902392564444153
40391,33476.4877432863205743539450494940989
40392,33477.7874098180522609554518559314289
40393,33477.9112474041377485720328052476251
40394,33478.4898324904491387508345645662813
40395,33479.3810457516446296119798395682952
40396,33479.8611181376308559848350132100724
40397,33481.2080625803670736653401561458946
40398,33481.5347777867601123223841536000385
40399,33482.4613568799500944264645571509733
40400,33482.7201416562316256176460448540421
40401,33483.3682611154585873144531831310335
40402,33484.2198940806233841913942359816683
40403,33485.3586080074008574100746903897349
40404,33486.1647658192225508462326453716095
40405,33486.7151742040080047859333202343882
40406,33487.8452308960358063894105191869187
40407,33488.3265174168893215731744637538360
40408,33488.7836896349533046809385094433562
40409,33489.7911890802600895807065404304955
40410,33490.0144351889051369728477686083303
40411,33490.8897128930895315663059435598559
40412,33491.5735744343429344986900677993012
40413,33492.6832930385079167945165812795589
40414,33493.0829956659320729431962102170714
40415,33494.1770632744947638985322453583563
40416,33494.8837673954433674646871071763564
40417,33495.3020788643568838883799635492900
40418,33496.2990863331317467347493367154678
40419,33497.0772651441778384978580525036920
40420,33497.8656552725556581745540393399977
40421,33498.5111551695126494385723836194983
40422,33499.1416110225013209335818832796729
40423,33499.6576783031934254801982512254207
40424,33500.5792430544235030573109057706854
40425,33501.3346932146893236062795180566446
40426,33501.8451646462244759827568610571453
40427,33502.1442974685482714770897532027653
40428,33503.8787234165502243786174537666133
40429,33504.8330117896214764035558228162570
40430,33504.9986177253016864719510367589268
40431,33505.9800330793843634127364497048628
40432,33506.2574968921929169724424263613082
40433,33507.2245402023831976097115062554547
40434,33507.7760519436227924151662817739123
40435,33508.4864420732270446000734157502993
40436,33509.6984300037054815570247957541916
40437,33509.8920696514880626376406870460756
40438,33510.5961604749010160561553876832894
40439,33511.5824238443077263437128938098707
40440,33512.2253785382309105271470894154985
40441,33513.0406064405213799860295495048945
40442,33514.0737841577773398819980215158122
40443,33514.5189171718724637624405537662210
40444,33515.2469696908232836233097374478727
40445,33516.3046367792358678985828824534185
40446,33516.9332360163904605931296743033115
40447,33517.5016204360215351691358083403966
40448,33517.7794201035515668274685729364139
40449,33518.5669039535741055087964438364949
40450,33519.3546372721610432982160835683724
40451,33520.3525279083322871814423275560646
40452,33521.1713891598673754250077823056196
40453,33522.0662385443841342357084063330382
40454,33522.5891670937744240999182894378951
40455,33523.5279498457989701057074817135273
40456,33524.1789361861301189559033074269257
40457,33524.8143855564047690294719643311080
40458,33525.1757072602240225959172735602710
40459,33526.2950479239067918094605933911474
40460,33526.9785454264600295593016520681591
40461,33527.7852137581022863134839056814175
40462,33528.3786142249153375811640421052873
40463,33528.7725102998568641805247647925443
40464,33529.9925803851066707110108975149390
40465,33530.1528228177984237490966602576782
40466,33531.5494714443285140315463654992188
40467,33532.3963761838746222794061418946594
40468,33533.2176558220401708966337761428315
40469,33533.7281039360867906700802414962479
40470,33534.0532332457124263894076176398690
40471,33534.9576072971072465630054459679113
40472,33535.7101612334828016159566442463173
40473,33536.3681576779342187895043864076424
40474,33537.0035849102443712136308732457627
40475,33537.6787947365488508733719057600212
40476,33538.5723574419997067940841052723148
40477,33539.6416644191090144771572331488463
40478,33540.3498542411448667321689632714959
40479,33541.0353828150525668727721225813082
40480,33541.5022698579285578889791892784416
40481,33542.0861810248008748485436432721159
40482,33543.5526339432510104355698011314966
40483,33543.8303880255832445281918324267394
40484,33544.4347603460393729355000314937622
40485,33545.2656668743714174860756175544997
40486,33545.9713623286561719250325497642267
40487,33546.4844549314593155245290893836753
40488,33547.0209402483031331146985162571864
40489,33548.1367270256434466234077249952464
40490,33548.9670558586934956482661287185652
40491,33550.0451677154665490929033060383574
40492,33550.4837604841093737647529368509063
40493,33551.3306097283494722390073379013015
40494,33552.0563359620725754469415692342368
40495,33552.5145402462136418527479944069159
40496,33553.1099651241832145985140012059710
40497,33553.8875105494591283240336841985909
40498,33554.4666913865737316053596362172439
40499,33555.8577461087754608948045956393968
40500,33556.2097594813465199101465327507484
40501,33556.7540842293111231978437684486298
40502,33557.4104844964599657025359744020323
40503,33558.7573371074733379732632617663687
40504,33559.2801191272169872079495245682022
40505,33559.8919405862122477216104087899056
40506,33560.7837972357079526808180155216489
40507,33561.5926871431343316847917786021501
40508,33561.9794520745428617554638770445378
40509,33563.0611407614050160458414817669161
40510,33563.5309535969544190869725023770695
40511,33563.8735237848100413071976119439562
40512,33564.8031980277164590518311712657613
40513,33565.3841042267246087252735763562963
40514,33566.5528033240143819373884258674785
40515,33567.6692779259456532007326238912051
40516,33568.1443599734021826900355184045910
40517,33568.7915111689510176479912377731515
40518,33569.5290467872570729970039475160056
40519,33569.9618663941155722195113324323915
40520,33570.7594675805390533659938075772538
40521,33571.7697780640844069320786553095854
40522,33572.4391543392840750559926480854078
40523,33572.8970335552455977174992191235301
40524,33573.5692441936466844315903206233777
40525,33574.5255616187291625712179188104320
40526,33575.1794600149299713451239061597444
40527,33576.0986267169043101428698834375048
40528,33576.4435389827000771448905748962624
40529,33577.7474728032715935780210085353570
40530,33578.5808039335862033979237916144267
40531,33579.0872328100278650660194098009623
40532,33579.8121286075094367679807883067577
40533,33580.4040592797855605317505130561603
40534,33580.7629687852217335273219386060404
40535,33581.7090198710560127859899669027304
40536,33582.4757461097276590448144464080582
40537,33583.1298400042253583979069677399029
40538,33583.9337831999396314637055052930590
40539,33584.9593113526525783810497131196604
40540,33585.8460721880117372753400124631273
40541,33586.1523372434194760849585191181734
40542,33587.1523394082920403064486849083542
40543,33587.9162362404036589927735228961071
40544,33588.2669199043855019685061833732825
40545,33589.0130340220130846310401620619507
40546,33590.2137116338441483206118777790351
40547,33590.6868744058273930724185983997583
40548,33591.3045768089291471911656560350874
40549,33591.9222347630541458264242148220238
40550,33592.5758980461316474692381748638641
40551,33593.0906549460058629604340162095764
40552,33594.6073473376533733578976052829377
40553,33595.4803594095239731435645507473282
40554,33595.9061259120780259358986251120289
40555,33596.4325499486440939616541095205230
40556,33597.4390637452838539476859878175203
40557,33598.0512587457408105057193201928277
40558,33598.6639393157196960621377160468382
40559,33599.1597410719510817536913072802586
40560,33599.8448308262614101466921696377287
40561,33600.9283540930077232226006840379547
40562,33601.5761571197769412210711817835090
40563,33602.2595817287888274078533392647610
40564,33603.2837703598942785576581263131421
40565,33603.8345559412411113049345519705540
40566,33604.5736732853074786655331266349839
40567,33605.2324405575313476881054611811186
40568,33606.2281748978247742972886272928761
40569,33606.8854240961856669433303721856083
40570,33607.7919681072462655111767952788678
40571,33608.1196286050025162725481902601586
40572,33608.5751661844609300650386180767967
40573,33609.6244468944255104206917447969681
40574,33610.2916361035135111143968622087733
40575,33610.7337281633815928724489573480057
40576,33611.9020033639648645431502508802910
40577,33612.6044724830574522342816546740348
40578,33613.9305138044751734225118371478821
40579,33614.3727127801912683771638044417114
40580,33614.8200459364851974200155802387687
40581,33615.2766539910318354563913610670729
40582,33616.1555008723365721805364506041504
40583,33616.9120266797663149638090235949548
40584,33617.7339843240171144869858717308908
40585,33618.6252463201272094727750907259858
40586,33618.9219603105339454892562996545446
40587,33619.9945519729257082931605240265922
40588,33620.2084237473265994560909141561384
40589,33621.6437590849416808493980309570518
40590,33622.0306185596506083673851547524224
40591,33623.0061472611546327240113871799624
40592,33623.7359567474962960192038550981934
40593,33624.5140685311579893626750704336015
40594,33625.3003203701587474410182881568234
40595,33625.5186667301925678085046192133239
40596,33626.7871000100311134688480337934000
40597,33627.0088938912240023169477562640697
40598,33627.5845978708694601193428486230335
40599,33628.1729127796647625309499782115431
40600,33629.6960125506421711743855919238512
40601,33630.3866277583016871161266304662907
40602,33630.9456355741129352063772580395112
40603,33631.8429252585105101522990196934686
40604,33632.3207572149504117776316637470786
40605,33633.1789031800508330272290765526706
40606,33633.8508567006516259299791503093230
40607,33634.6836259351417185948072791364967
40608,33635.0086965469997601291924174810944
40609,33636.1970220555627836733660544210627
40610,33636.6265787505389558644211140383340
40611,33637.5555535384315256197633989526352
40612,33637.9370046630018820648256443330271
40613,33638.5574621781099232149587888367377
40614,33639.7790225310291436523697273791843
40615,33640.5566351000029055453011475785829
40616,33641.5789578720699964584964447086121
40617,33642.0345363751788485555582616208972
40618,33642.7404978912679921018000405626858
40619,33643.3970189888066245754695105017892
40620,33643.8331654858338541811966852509558
40621,33644.5561946473872953649996175526027
40622,33645.4620385439895792152581969390601
40623,33646.2455612240269873831470821065375
40624,33646.8311799314933022872624243646126
40625,33647.5597571298371655409764348079971
40626,33648.6495356397115859640760936822830
40627,33649.4912539397836063136588195243135
40628,33650.0493310422865361927481177234015
40629,33650.5774222317918000525006398073556
40630,33651.1972905660547620301213062263817
40631,33652.3051968625334067970936257540914
40632,33653.2024085301393575672564049851616
40633,33653.5909048481238650846757892777827
40634,33654.2505525973489008794395051561729
40635,33654.6994668220630367440765690005058
40636,33655.4659711021189490674617623924216
40637,33656.5983690116972172304957027475417
40638,33656.8141727190629571801009887271009
40639,33658.4554499894294265307296732113076
40640,33659.0077374133767624556400853593730
40641,33659.4073433296841518834201297794513
40642,33660.3914539316414542503848142015773
40643,33660.9258088905216302629907341893105
40644,33661.7887809017040139349019919550572
40645,33661.9688041462548470105514321387994
40646,33662.9219964406133472561461444515053
40647,33663.9178689419709202539570719773249
40648,33664.3308777586152867922536700000263
40649,33665.5068970506391307727637305563945
40650,33665.8822898717628310290302551044888
40651,33666.6658411854598442119074356113351
40652,33667.3769496461685596799198470648607
40653,33668.4422234369257335822088889772738
40654,33669.2973900226314998210666444991439
40655,33669.8324385503766532084535007128335
40656,33670.3063750228637798997899467444286
40657,33671.1543996973119144314370502081622
40658,33672.0761068418215994805560207395626
40659,33672.4100138353810468358932520360097
40660,33672.9970459539581287712552445258172
40661,33673.9692707338441573195778462993193
40662,33674.3299076215817054840324011236884
40663,33675.9160924007962264383099874474477
40664,33676.6670755164355818877825784112775
40665,33677.0285014026316307952174934477174
40666,33677.8426164506618510140803996426751
40667,33678.6593345235594209773394419209134
40668,33678.8761112952133398665953229954496
40669,33679.8560628434921398540715251752914
40670,33680.7947643513352491466275416751029
40671,33681.3993902441615312492593475445354
40672,33682.1925351821682819879694868230161
40673,33682.6073419797911007495547897298718
40674,33683.2408314179278289041075437855723
40675,33684.2885335982640895410702038325780
40676,33685.3099585803070124996385583674959
40677,33685.6590990668487562325433729148994
40678,33686.6284373756103057489727920120019
40679,33687.5740637414697664084383576185461
40680,33688.2976194548671847356781055231643
40681,33688.7916918729483433324550183954600
40682,33689.1953893538362860727649272702840
40683,33690.1546759651863369410451208910988
40684,33690.3921416633126576775401674945250
40685,33691.5345745502997856356591532708692
40686,33692.4087482947685625958817736597990
40687,33693.0641221670780742858097023011568
40688,33693.8297806873971543960078386954452
40689,33694.8465202125892752674545370751148
40690,33695.4017210787379003806500515343032
40691,33696.2532718578309187689974537242387
40692,33696.4190404393521433192376970990274
40693,33697.6934366738615421731625074043471
40694,33698.3636552152520244765589199764278
40695,33698.7554002284375639295044317976490
40696,33699.7334816312429184333925879463940
40697,33700.4941218862712565761114843472925
40698,33700.9270769660111254688702150680905
40699,33701.4696066061338192447462503366143
40700,33702.2882574515296679210079396677820
40701,33703.8448864123908903357395607394646
40702,33704.2365859408400512497104040968585
40703,33705.2599189658073775355656528410888
40704,33705.5988913137179586823748315516983
40705,33706.0143972586060744620986751071100
40706,33706.9584158095706144958791082979903
40707,33707.9773597328384713317662091093674
40708,33708.1834696120106860849845914217093
40709,33708.8914496745587700376877446236917
40710,33709.8328958011598384778246226402887
40711,33710.7097566048242462337772588081440
40712,33711.3525371392263624825555679581181
40713,33712.3145817197149796789915288977124
40714,33712.8128331560268153510756155916607
40715,33713.5736969881090448336478320156458
40716,33714.4230627685546686567847945026151
40717,33715.1514575777697441906054968886736
40718,33716.0440504925712351273092928639962
40719,33716.7611332937998013735906539978928
40720,33716.9377398049956822615162893518922
40721,33717.8752410342366185652146431911117
40722,33718.4955071540252370236988917020432
40723,33719.0428274219777653981189140642875
40724,33720.0859735880923078112383683767209
40725,33721.0916662398378539802786261308264
40726,33721.7299379252136990595945315981200
40727,33722.6395975220135296694512314664938
40728,33723.3308697613490567554814801412912
40729,33723.9720483357669370956466159941797
40730,33724.5898419631794276609247919007070
40731,33724.9343981210482597381471857148080
40732,33725.7719552686489819799927563701762
40733,33727.0750764724713052783455409508900
40734,33727.5536901993639540885887651844858
40735,33728.0585969726063103955068171574664
40736,33728.5453106660460423895391429229238
40737,33729.8002287816801666294732480378726
40738,33730.2055818607838539188513924140008
40739,33731.4686771835922846766207697227682
40740,33731.9561686760215777212697048499185
40741,33732.8363927558307128510934952427140
40742,33733.3685047003219390542246653724676
40743,33734.3087890691149965173782893131831
40744,33734.7617753792059868481607550230413
40745,33735.3334824988914670266076696200455
40746,33736.0830945251529401085515869536324
40747,33736.8202841677104748962390133866003
40748,33737.3386343187403909905411119733098
40749,33738.4838394806104812156385582617500
40750,33739.5892779385672244330152159661674
40751,33740.3335960191851857248710999519694
40752,33740.5993596895984213122748334216232
40753,33741.0855381372537496351990624853471
40754,33742.4783156270965997354571985051070
40755,33742.6485392266185480397447504986558
40756,33743.7267763154312696059764845522823
40757,33744.3463377626361644810311745635691
40758,33744.9427770813071113338610841483322
40759,33745.5559373411297103733587242705522
40760,33746.5157917927342713719173755937777
40761,33747.1137333726100612020625106926477
40762,33747.6676835833281049928964838738069
40763,33748.6525716746391321882425714131475
40764,33749.9742229102234217591777797755788
40765,33750.3956314359591092669250410280106
40766,33750.9740280258559375357146565055337
40767,33751.7755753889387677476593974019319
40768,33752.3011808327382192095769521296694
40769,33752.9205396853455652425188461517922
40770,33753.5782245325392881790453283864985
40771,33754.3722228623900253253945211262863
40772,33755.3068850271208751563763803998303
40773,33756.0266819490514788097279628918438
40774,33756.6146564540344677013209405281792
40775,33757.5099594103182433382921037145982
40776,33758.4861113954367800856116860470968
40777,33759.1568902306349386560352595963480
