n,gamma
40001,33190.8049670598142716246117751176876
40002,33191.3431890279776688357651399784322
40003,33192.1776035558495819349969874914366
40004,33192.5335970489139111651622937761920
40005,33193.4834171717031088441624314392663
40006,33194.0625638515339211958557602399412
40007,33195.4050052253120433785072627010497
40008,33196.0020193569224403725511486252271
40009,33196.9504216668711551427964245735073
40010,33197.5175034117068970838272915220212
40011,33198.0575901501962123508938278374338
40012,33198.4062638652082479046695869746895
40013,33199.4357751084807686272545850750007
40014,33200.5245168631358668863567193841810
40015,33201.0735976739966586520851530541762
40016,33201.4748605267978423234667807652126
40017,33202.2986591702431860032534080905521
40018,33202.8944511490845767513167154614954
40019,33203.9232303607882233368937163889893
40020,33204.6814375838276374937462651789778
40021,33205.4722502591818401930091346806364
40022,33206.1956917470569872394994856810312
40023,33207.1586016636454512002372567716017
40024,33207.8498383632038771948125654316604
40025,33208.3699659539889368722688818831111
40026,33208.9785599104282313300660348971282
40027,33209.3567109033291209920419484954526
40028,33210.5544641256804809762411136133502
40029,33210.8530631144492382833341879136821
40030,33211.7984900421334152229302105046070
40031,33212.9891171976368638995186962506104
40032,33213.6355304984540023575246089608148
40033,33213.9899989836936953718547196905157
40034,33215.3442595439704378820749472124369
40035,33215.4680040558305537041689189010266
40036,33216.3973334439781285114746083332198
40037,33217.2137244899075519687608832439462
40038,33217.8465690896785065764123739601431
40039,33218.4693086517660051640715601836040
40040,33219.3715797362054187869749073922937
40041,33220.0539454771432432205222591565916
40042,33220.5996434365128503578371929622374
40043,33221.1212048256976414832371708145446
40044,33221.8370871920329366396320972622183
40045,33223.6013716689196087874759657497558
40046,33223.9534656359119913593905744900348
40047,33224.5236543399211326474205394244359
40048,33225.2265889341624162481311385795456
40049,33226.0342117536370445470290673720359
40050,33226.4375539065644400825861162417532
40051,33227.4020768562209132381855892158794
40052,33227.8128361134381122120486405161117
40053,33228.7668866997351412098063041971335
40054,33229.4520190296682902791055907338757
40055,33230.2561261058297266873772984395034
40056,33230.9510313736947925124178910698076
40057,33231.9739800810683888220325473663389
40058,33232.5966809377235006347550842567989
40059,33233.2389994379559224903364555125283
40060,33233.8287907896702910885590297310234
40061,33234.9774092100244038448745630016627
40062,33235.6302816120785714578769865395564
40063,33236.2230647136034606802635150662436
40064,33236.9596560777415817815453772015586
40065,33237.4604971682355932868266426764278
40066,33237.7264470893969707434080446606272
40067,33239.1626018648455931956251610123940
40068,33239.5777153651859757010292066397071
40069,33240.6888563075819539536775386425074
40070,33241.4083767813021635794080538887969
40071,33242.5070081404377045686106889147648
40072,33242.8430286218314365266210019837062
40073,33243.4990915757600168475944220471765
40074,33244.1978242013578720390490660164767
40075,33244.7609076498252900789981266022610
40076,33245.4704857912651496172385354761967
40077,33246.6116241525747234971024611316809
40078,33247.1509603824594334915303513355473
40079,33247.8791115715606705980070358074427
40080,33248.2116189907077534040477458329823
40081,33249.4007573585142793049651157835941
40082,33250.0097537805666274895587863637909
40083,33250.8628429828641666068046375402137
40084,33251.9166205629023540827215441926327
40085,33252.5594342837323118881932024168623
40086,33253.0546887619797906800725609268873
40087,33253.5977677096942975653068909754721
40088,33254.5351205256161642260158734383759
40089,33255.3502744446276163695246891361805
40090,33255.6929346473665816155079530856909
40091,33256.1523886641399603261474976582611
40092,33257.2510790574814825097917016559685
40093,33258.1667647969891211495309241405126
40094,33259.5012356641789737932086867554998
40095,33259.7139175803352414582287803355978
40096,33260.1968797195335946010350792224313
40097,33261.0679130272196330344684805019918
40098,33261.7853654494100342375357740238155
40099,33262.7553187293312430506900250288268
40100,33263.1628263454929612972820504209927
40101,33264.1089178720545449018180380599980
40102,33264.6239243856658183616976965236213
40103,33265.3583258484049898898194402857042
40104,33266.1250642221458090020245619345519
40105,33266.6288520626643890187623056334846
40106,33267.5180210820028259852887132440064
40107,33268.7134593891413050614811574309994
40108,33269.1749685157019707901876047496782
40109,33270.2060278787215514441325131522007
40110,33270.9015358954129254143154576008306
40111,33271.3525064683271213541799249811209
40112,33272.0190346414024881551690942462165
40113,33272.6007448105693094440692313012451
40114,33273.1432640253689321219555118200734
40115,33274.2467147305754380382145468097072
40116,33275.0402442897319692647631061175802
40117,33275.7254889947967413065167274912071
40118,33276.2280838814550338433398622046631
40119,33277.4157775472643406362377273585229
40120,33278.0390370058616318158514120471772
40121,33278.9388166751041110623488321406151
40122,33279.4108188971059388618844267112065
40123,33279.7845345369797928967443663243676
40124,33281.2738439679677382268382200014783
40125,33281.7692625316355898678800559702398
40126,33282.1668838350661536026465033676746
40127,33282.8846305209138011923696984138122
40128,33283.8114987408578950030798228419933
40129,33284.0028089131039486658493271682214
40130,33284.9293972873964344531687482647478
40131,33286.4009343551381588939979930169571
40132,33286.9097387115454045245135753669133
40133,33287.8596947332457154520495860653868
40134,33288.0876539856418394775212140070497
40135,33289.1290505370774187589997799213888
40136,33289.4639126488294050447978721661232
40137,33290.2958069633388010983590724374602
40138,33291.1196260941488483505929076795372
40139,33291.7879867940721698093224768779307
40140,33292.3279088151673506405063689694641
40141,33293.2398133180071832287732246410113
40142,33294.2469500490804581381387494255992
40143,33294.7029534794081271678355113269720
40144,33295.4201108468247849476888347500333
40145,33296.1685444897525948983727887009253
40146,33297.2667751476261447620198029975408
40147,33297.9393208134849721586262492153991
40148,33298.7909506292379021658631173193101
40149,33299.0189086697083724655143187366769
40150,33299.8959732017975546587698927027214
40151,33300.3752767265106755531300669633477
40152,33301.4453534934973872162375420761845
40153,33301.7571352067826719223682065828123
40154,33302.4904670602910027238458607614282
40155,33303.6704693592235558281399323993290
40156,33304.5374856219131821450373507515312
40157,33305.4188843597118854516421992913144
40158,33305.7670427303988269337478245776499
40159,33306.7248693209360524499059642750023
40160,33307.1239123607105549810340260919767
40161,33307.7984025195293884688048241017374
40162,33308.5957110328184566887943786550700
40163,33309.5869515487261256211291149206921
40164,33310.3213242501546570730929195593354
40165,33310.8545292390633243456069443441431
40166,33311.2914348621430624560665407065366
40167,33311.9410032090109240770081874439811
40168,33313.3560347215320271664595219315225
40169,33313.8447676789645175449830088303562
40170,33314.7675034823956324400683190880704
40171,33315.6519427054973633998527251003512
40172,33315.8964054122931198863697995582042
40173,33317.0470137159529194170922398684861
40174,33317.6462748231066743360837751997093
40175,33318.0162760502509567808234128087430
40176,33318.6058023165139747226992411772388
40177,33319.3698132251040295838155644343456
40178,33320.3644338620497512271814615843137
40179,33321.3928762920769779397750446638960
40180,33321.6878748301706030095349443323265
40181,33323.0161444538750268592141243838609
40182,33323.3901537539310424867021995288693
40183,33324.0891828104990017939526331515991
40184,33324.6804657214810516938920717982190
40185,33325.8511039733129705650482335007506
40186,33326.3764671603554283682016399344181
40187,33326.9007135566302428006429845688345
40188,33327.7560461925951408541364661187282
40189,33328.4734222048271375460648176847609
40190,33328.9616855109637976453235914117819
40191,33329.7815639018921156665414773295915
40192,33330.5094089491308505774348112173067
40193,33331.1792669869386440484550883493096
40194,33332.7348477771985369325054641659097
40195,33333.2063882618919716611457067336153
40196,33333.8217694169332016844113764610382
40197,33334.2908500032091829456063990956055
40198,33334.8681104215967716262141172058601
40199,33335.7737397825694951116159954047797
40200,33336.4088759244662225505567051432227
40201,33337.3119365537871564064053418038529
40202,33337.7857817500947895705013122803420
40203,33338.6913310262902009563800525796478
40204,33339.3947692235969239746864473154345
40205,33340.2117346698796789659918953023810
40206,33341.2128572241596522367029932036505
40207,33341.6582898054035619980106178636395
40208,33342.3036283838505204005534148332429
40209,33343.4498251771198279249166366066643
40210,33343.8553807086533366184444000753762
40211,33344.7815316727486050159553156205269
40212,33345.4715065617943806368848237941793
40213,33345.9343106055788060673644091216219
40214,33346.4796265999673049778241253732007
40215,33347.2390025335098514602059251950470
40216,33347.8670650405387854993032245538699
40217,33349.3692787492876507470572044382983
40218,33349.9244416973796811869544096475478
40219,33350.6064336387282336738428922706968
40220,33351.1508741094938964032275776537178
40221,33352.3564003673334677707458689804692
40222,33352.7538233579271620229673263365603
40223,33353.0343769087566364589861905483041
40224,33354.0084459778882032285259486694178
40225,33354.7546518662583489337970238912915
40226,33355.8380237209375732778032141979289
40227,33356.1061610072151609668491588109288
40228,33357.0738767827111841753040280016959
40229,33357.5490684330881223295030031252387
40230,33358.2923528407598470184064169308824
40231,33359.4741076010566910087859150362014
40232,33360.2041350513827510329444610914451
40233,33360.8294881466684161025864643598527
40234,33361.7762173305070591702108438667039
40235,33362.2717007506972144756166113970199
40236,33362.8251851077813546704320133910083
40237,33363.4282315250938625993668318681646
40238,33364.2952332176086735883218636002725
40239,33364.9404237149559899464907186208015
40240,33365.7006442038781947215475644124725
40241,33366.2096931066716135997601604471656
40242,33367.7197808786120690623619346507969
40243,33368.2199839609548134433244439867107
40244,33369.1059932447246609638218313658735
40245,33369.4299894161522842781295244026644
40246,33370.0989685285609079935999123041858
40247,33370.8495420486593646626595183515417
40248,33371.8994710622425493884982262421931
40249,33372.7130237556535359814687291258507
40250,33373.2080502214215608818484160019484
40251,33373.4395103772472383993888631933966
40252,33374.5377764600644849808752423381163
40253,33375.3172462831962406023739617070773
40254,33375.7734609260973545429515890784455
40255,33376.8899782576782901708043371607609
40256,33377.8507854352579941383667491567899
40257,33378.4936718878163069686157954602130
40258,33379.3180261389043370590633832750422
40259,33379.9136782026673572295129526316946
40260,33380.3415441182417224482621684138046
40261,33381.3498456629984259817719469686514
40262,33381.7098719196858058994354726615277
40263,33382.2196245678193929544209493553619
40264,33383.5067413732549821028582035398225
40265,33384.2569820907844504684175560857767
40266,33384.7267274860703469951576977803967
40267,33385.7982542796870433889729995011646
40268,33386.2487393128253394584117543897811
40269,33387.2071332664259840580950505161317
40270,33388.1157134744374410425397556445826
40271,33388.4607812084706253845894987791572
40272,33389.4810489099624797839280710241584
40273,33389.8377569923348376428610242098108
