loop,t_near,u_near,distance,a,b,abs_a,abs_b,a_zero,b_zero,a_even,b_even,a_even_nonzero,b_even_nonzero,a_prime,b_prime,norm,norm_prime,theta_mod_2pi,arg_zeta_mod_2pi,theta_mod_pi,arg_zeta_mod_pi
35,112.73014461004743,0.35,0.0846662739854429,1,1,1,1,False,False,False,False,False,False,False,False,2,True,5.444164529968333,0.8390207772112575,2.30257187637854,0.8390207772112575
36,114.95591665328534,0.3333333333333333,0.06967005235056879,1,1,1,1,False,False,False,False,False,False,False,False,2,True,2.3849258553771406,0.7566667982126568,2.3849258553771406,0.7566667982126568
37,116.52551370126272,0.11666666666666667,0.047677106059679,0,1,0,1,True,False,True,False,False,False,False,False,1,False,4.671408600857212,1.6117767063223782,1.5298159472674193,1.6117767063223782
38,120.51021811566922,0.6666666666666666,0.041576224802774786,1,-2,1,2,False,False,False,True,False,True,False,True,5,True,4.240033840846536,5.184744119922848,1.0984411872567428,2.0431514663330548
39,121.94818349158805,0.36666666666666664,0.1678573015345407,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.08489148842921423,6.198293818750376,0.08489148842921423,3.0567011651605833
40,123.84196600704641,0.6833333333333333,0.41369764694622435,1,0,1,0,False,True,False,True,False,False,False,False,1,False,2.900416985715488,0.2411756678743101,2.900416985715488,0.2411756678743101
41,125.77799562184993,0.4666666666666667,0.11608656500545514,4,2,4,2,False,False,True,True,True,True,False,True,20,False,5.793719018431425,0.4894662887481665,2.6521263648416316,0.4894662887481665
42,129.20071364449214,0.8166666666666667,0.08416980388254577,0,-1,0,1,True,False,True,False,False,False,False,False,1,False,4.661935181686516,4.7628427790828685,1.520342528096723,1.6212501254930753
43,130.28287038059287,0.4666666666666667,0.016958524281914158,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.01695327295960425,6.266232034219987,0.01695327295960425,3.124639380630194
44,132.89535284669293,0.75,0.09114001165961744,1,-1,1,1,False,False,False,False,False,False,False,False,2,True,3.9902626776514083,5.434515283117976,0.8486700240616152,2.2929226295281833
45,134.31587126870994,0.65,0.22108137134896472,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.16153087841014,0.12165442876945148,3.019938224820347,0.12165442876945148
46,135.93229702751088,0.35,0.045784385311785566,3,3,3,3,False,False,False,False,False,False,True,True,18,False,2.3581917658691367,0.783400887720662,2.3581917658691367,0.783400887720662
47,138.5211624757504,0.25,0.08500788056287649,1,0,1,0,False,True,False,True,False,False,False,False,1,False,0.06670095845185386,6.216484348727738,0.06670095845185386,3.0748916951379446
48,140.4762204393333,0.5333333333333333,0.24532790360650747,1,0,1,0,False,True,False,True,False,False,False,False,1,False,3.0972048598469186,0.044387793742880245,3.0972048598469186,0.044387793742880245
49,141.55476010830068,0.21666666666666667,0.08568812469538477,0,1,0,1,True,False,True,False,False,False,False,False,1,False,4.774866922004115,1.508318385175477,1.633274268414322,1.508318385175477
50,144.36377141027688,0.43333333333333335,0.06852968059892206,4,1,4,1,False,False,True,False,True,False,False,False,17,True,2.8802906217260897,0.26130203186370937,2.8802906217260897,0.26130203186370937
51,146.49868541452517,0.35,0.1147267667973552,1,0,1,0,False,True,False,True,False,False,False,False,1,False,6.234043365308537,0.049141941871055375,3.092450711718744,0.049141941871055375
